AR,taper,sweep,root_chord,vlm_xnp,ab_xnp,span,MAC
0.25,0.1,-75.0,10.0,-2.2577582138569103,-0.9532782070014326,1.375,6.727272727272727
0.25,0.1,-67.5,10.0,-1.8734311407802406,-0.6161939234046292,1.375,6.727272727272727
0.25,0.1,-60.0,10.0,-1.6131624686524269,-0.44147012667276053,1.375,6.727272727272727
0.25,0.1,-52.5,10.0,-1.4390848800657383,-0.33157267231734167,1.375,6.727272727272727
0.25,0.1,-45.0,10.0,-1.3139422317062899,-0.2538419406582833,1.375,6.727272727272727
0.25,0.1,-37.5,10.0,-1.2168089792188042,-0.19418799327346165,1.375,6.727272727272727
0.25,0.1,-30.0,10.0,-1.1365540814527684,-0.1454764502298594,1.375,6.727272727272727
0.25,0.1,-22.5,10.0,-1.0668797840056419,-0.10364472923128183,1.375,6.727272727272727
0.25,0.1,-15.0,10.0,-1.0038487144258952,-0.06613835087416625,1.375,6.727272727272727
0.25,0.1,-7.5,10.0,-0.9447174617798259,-0.031187525156239057,1.375,6.727272727272727
0.25,0.1,0.0,10.0,-0.8873405087774817,0.0025723797809468624,1.375,6.727272727272727
0.25,0.1,7.5,10.0,-0.8298136560674975,0.03632691358353715,1.375,6.727272727272727
0.25,0.1,15.0,10.0,-0.7702028191390955,0.0712726524384367,1.375,6.727272727272727
0.25,0.1,22.5,10.0,-0.7062634191522575,0.10877359169496859,1.375,6.727272727272727
0.25,0.1,30.0,10.0,-0.6350516124991662,0.15059873589137482,1.375,6.727272727272727
0.25,0.1,37.5,10.0,-0.5522565493131125,0.19930152145318333,1.375,6.727272727272727
0.25,0.1,45.0,10.0,-0.45086554887714814,0.25894284008015034,1.375,6.727272727272727
0.25,0.1,52.5,10.0,-0.3181585071901749,0.3366538168387181,1.375,6.727272727272727
0.25,0.1,60.0,10.0,-0.12830540434917975,0.4465170687650516,1.375,6.727272727272727
0.25,0.1,67.5,10.0,0.17712883301327184,0.6211724181835916,1.375,6.727272727272727
0.25,0.1,75.0,10.0,0.764408150026376,0.9580842416157019,1.375,6.727272727272727
0.5,0.1,-75.0,10.0,-2.850427937397855,-1.9035981968571087,2.75,6.727272727272727
0.5,0.1,-67.5,10.0,-2.320451914676605,-1.2329695855088227,2.75,6.727272727272727
0.5,0.1,-60.0,10.0,-1.9829852690698244,-0.8846359282779482,2.75,6.727272727272727
0.5,0.1,-52.5,10.0,-1.7251606120247016,-0.6652793668409581,2.75,6.727272727272727
0.5,0.1,-45.0,10.0,-1.5200189390364773,-0.5100198265493853,2.75,6.727272727272727
0.5,0.1,-37.5,10.0,-1.3520578662456613,-0.39081643965773516,2.75,6.727272727272727
0.5,0.1,-30.0,10.0,-1.2095225102009006,-0.29345278314835044,2.75,6.727272727272727
0.5,0.1,-22.5,10.0,-1.0839433386175223,-0.20982621936842444,2.75,6.727272727272727
0.5,0.1,-15.0,10.0,-0.969218558610245,-0.13483864488673727,2.75,6.727272727272727
0.5,0.1,-7.5,10.0,-0.8607391131216106,-0.06495634351420305,2.75,6.727272727272727
0.5,0.1,0.0,10.0,-0.7547147066868704,0.0025462753466086313,2.75,6.727272727272727
0.5,0.1,7.5,10.0,-0.6476513958100605,0.07003514218930987,2.75,6.727272727272727
0.5,0.1,15.0,10.0,-0.5358814220955777,0.13990061221607292,2.75,6.727272727272727
0.5,0.1,22.5,10.0,-0.415027681886293,0.21486834384446288,2.75,6.727272727272727
0.5,0.1,30.0,10.0,-0.2792373444805116,0.2984701474830024,2.75,6.727272727272727
0.5,0.1,37.5,10.0,-0.11989298768706613,0.3958007853614284,2.75,6.727272727272727
0.5,0.1,45.0,10.0,0.07681845668245418,0.5149571925688479,2.75,6.727272727272727
0.5,0.1,52.5,10.0,0.3350810812731989,0.6701450808800856,2.75,6.727272727272727
0.5,0.1,60.0,10.0,0.7026636090550229,0.8893827961871872,2.75,6.727272727272727
0.5,0.1,67.5,10.0,1.2915061858708865,1.2374965806649882,2.75,6.727272727272727
0.5,0.1,75.0,10.0,2.4276948015037156,1.907655044131923,2.75,6.727272727272727
1.0,0.1,-75.0,10.0,-4.206108803005656,-3.7893491640621235,5.5,6.727272727272727
1.0,0.1,-67.5,10.0,-3.169537251972486,-2.4585887398844104,5.5,6.727272727272727
1.0,0.1,-60.0,10.0,-2.5866661314665005,-1.7665926062637116,5.5,6.727272727272727
1.0,0.1,-52.5,10.0,-2.1759594515789593,-1.3301473278501907,5.5,6.727272727272727
1.0,0.1,-45.0,10.0,-1.8523446711280094,-1.0208261264547327,5.5,6.727272727272727
1.0,0.1,-37.5,10.0,-1.5808331919049812,-0.7831022011470683,5.5,6.727272727272727
1.0,0.1,-30.0,10.0,-1.343313940341137,-0.5887927550283787,5.5,6.727272727272727
1.0,0.1,-22.5,10.0,-1.128432277307322,-0.4218144042882278,5.5,6.727272727272727
1.0,0.1,-15.0,10.0,-0.9279575425746623,-0.2720352497447779,5.5,6.727272727272727
1.0,0.1,-7.5,10.0,-0.7352495412301541,-0.13242501928064998,5.5,6.727272727272727
1.0,0.1,0.0,10.0,-0.5443993564131645,0.0024431111454431553,5.5,6.727272727272727
1.0,0.1,7.5,10.0,-0.3495638415701745,0.13727356842092892,5.5,6.727272727272727
1.0,0.1,15.0,10.0,-0.14428647061936056,0.2768277992097993,5.5,6.727272727272727
1.0,0.1,22.5,10.0,0.07937327218000637,0.42653851611708604,5.5,6.727272727272727
1.0,0.1,30.0,10.0,0.3321655555849852,0.5934323926044961,5.5,6.727272727272727
1.0,0.1,37.5,10.0,0.6299460973277039,0.7876328773412641,5.5,6.727272727272727
1.0,0.1,45.0,10.0,0.9980746760144928,1.025209447305685,5.5,6.727272727272727
1.0,0.1,52.5,10.0,1.4806087253613904,1.3343217496228172,5.5,6.727272727272727
1.0,0.1,60.0,10.0,2.16107467633436,1.7704561587240588,5.5,6.727272727272727
1.0,0.1,67.5,10.0,3.2079816479841226,2.461966090960265,5.5,6.727272727272727
1.0,0.1,75.0,10.0,4.964877667201905,3.791930392621451,5.5,6.727272727272727
1.9999999999999998,0.1,-75.0,10.0,-7.235084746142445,-7.536834506112637,10.999999999999998,6.727272727272727
1.9999999999999998,0.1,-67.5,10.0,-5.068655772476967,-4.8908205474129725,10.999999999999998,6.727272727272727
1.9999999999999998,0.1,-60.0,10.0,-3.935587866086121,-3.516710662767481,10.999999999999998,6.727272727272727
1.9999999999999998,0.1,-52.5,10.0,-3.182780495543494,-2.650131582913432,10.999999999999998,6.727272727272727
1.9999999999999998,0.1,-45.0,10.0,-2.609730990297998,-2.0355949671275257,10.999999999999998,6.727272727272727
1.9999999999999998,0.1,-37.5,10.0,-2.1361274817092335,-1.5628952479003992,10.999999999999998,6.727272727272727
1.9999999999999998,0.1,-30.0,10.0,-1.7228504498835888,-1.1761843756948867,10.999999999999998,6.727272727272727
1.9999999999999998,0.1,-22.5,10.0,-1.347333722984987,-0.8436146299462977,10.999999999999998,6.727272727272727
1.9999999999999998,0.1,-15.0,10.0,-0.9944564252679343,-0.545125024784039,10.999999999999998,6.727272727272727
1.9999999999999998,0.1,-7.5,10.0,-0.6526172119722616,-0.2667911694128484,10.999999999999998,6.727272727272727
1.9999999999999998,0.1,0.0,10.0,-0.3116944899955512,0.0021406303567073487,10.999999999999998,6.727272727272727
1.9999999999999998,0.1,7.5,10.0,0.0383078051345668,0.27097169547602074,10.999999999999998,6.727272727272727
1.9999999999999998,0.1,15.0,10.0,0.40847047586881857,0.5491399169770305,10.999999999999998,6.727272727272727
1.9999999999999998,0.1,22.5,10.0,0.8123864415650175,0.8474329881202757,10.999999999999998,6.727272727272727
1.9999999999999998,0.1,30.0,10.0,1.2682051145156452,1.1797756471870047,10.999999999999998,6.727272727272727
1.9999999999999998,0.1,37.5,10.0,1.8019281929220936,1.566217833367201,10.999999999999998,6.727272727272727
1.9999999999999998,0.1,45.0,10.0,2.4531301907289533,2.0385903979516824,10.999999999999998,6.727272727272727
1.9999999999999998,0.1,52.5,10.0,3.285853772109633,2.6527190655393547,10.999999999999998,6.727272727272727
1.9999999999999998,0.1,60.0,10.0,4.415076861112952,3.518780405915293,10.999999999999998,6.727272727272727
