SARATOV AIRFOIL
1.0000000 0.0000000
0.9000000 0.0285000
0.8000000 0.0550000
0.7000000 0.0775000
0.6000000 0.0970000
0.5000000 0.1135000
0.4000000 0.1250000
0.3000000 0.1175000
0.2000000 0.0970000
0.1500000 0.0827500
0.1000000 0.0675000
0.0500000 0.0462500
0.0250000 0.0306300
0.0125000 0.0203100
0.0000000 0.0000000
0.0125000 -.0146900
0.0250000 -.0193800
0.0500000 -.0217500
0.1000000 -.0205000
0.1500000 -.0092500
0.2000000 0.0050000
0.3000000 0.0355000
0.4000000 0.0700000
0.5000000 0.0625000
0.6000000 0.0500000
0.7000000 0.0375000
0.8000000 0.0250000
0.9000000 0.0125000
1.0000000 0.0000000
