NACA-M1 AIRFOIL
1.0000000 0.0020000
0.9500000 0.0057000
0.9000000 0.0091000
0.8000000 0.0154000
0.7000000 0.0208000
0.6000000 0.0253000
0.5000000 0.0285000
0.4000000 0.0305000
0.3000000 0.0308000
0.2000000 0.0288000
0.1500000 0.0267000
0.1000000 0.0234000
0.0750000 0.0210000
0.0500000 0.0180000
0.0250000 0.0136000
0.0125000 0.0103000
0.0000000 0.0000000
0.0125000 -.0103000
0.0250000 -.0136000
0.0500000 -.0180000
0.0750000 -.0210000
0.1000000 -.0234000
0.1500000 -.0267000
0.2000000 -.0288000
0.3000000 -.0308000
0.4000000 -.0305000
0.5000000 -.0285000
0.6000000 -.0253000
0.7000000 -.0208000
0.8000000 -.0154000
0.9000000 -.0091000
0.9500000 -.0057000
1.0000000 -.0020000
