  SD6080 (9.2%)
  1.00000  0.0
  0.99676  0.00037
  0.98716  0.00159
  0.97155  0.00383
  0.95032  0.00717
  0.92396  0.01160
  0.89301  0.01704
  0.85799  0.02332
  0.81945  0.03025
  0.77793  0.03758
  0.73396  0.04508
  0.68807  0.05250
  0.64077  0.05960
  0.59257  0.06613
  0.54399  0.07185
  0.49546  0.07646
  0.44730  0.07980
  0.39986  0.08176
  0.35351  0.08234
  0.30859  0.08154
  0.26547  0.07941
  0.22453  0.07607
  0.18616  0.07160
  0.15071  0.06609
  0.11851  0.05965
  0.08984  0.05238
  0.06490  0.04442
  0.04387  0.03595
  0.02684  0.02720
  0.01391  0.01844
  0.00509  0.01004
  0.00045  0.00260
  0.00082 -0.00296
  0.00692 -0.00710
  0.01860 -0.01060
  0.03565 -0.01322
  0.05796 -0.01494
  0.08539 -0.01581
  0.11771 -0.01592
  0.15462 -0.01539
  0.19573 -0.01433
  0.24059 -0.01285
  0.28870 -0.01109
  0.33948 -0.00916
  0.39233 -0.00717
  0.44662 -0.00519
  0.50168 -0.00334
  0.55682 -0.00166
  0.61136 -0.00020
  0.66463  0.00099
  0.71596  0.00189
  0.76470  0.00250
  0.81024  0.00282
  0.85200  0.00287
  0.88944  0.00267
  0.92207  0.00228
  0.94944  0.00175
  0.97121  0.00118
  0.98707  0.00063
  0.99675  0.00018
  1.00001  0.00000
