Bergey BW-3  (smoothed)
1.000000       0.003495
0.997540       0.005377
0.990700       0.009832
0.980370       0.014829
0.966980       0.019224
0.950440       0.022809
0.930640       0.025869
0.907750       0.028919
0.882020       0.032370
0.853700       0.036370
0.823090       0.040841
0.790480       0.045621
0.756160       0.050519
0.720430       0.055358
0.683590       0.059983
0.645940       0.064264
0.607780       0.068087
0.569370       0.071364
0.530990       0.074019
0.492650       0.076004
0.454350       0.077273
0.416380       0.077828
0.378870       0.077706
0.342040       0.076951
0.306090       0.075596
0.271200       0.073640
0.237600       0.071048
0.205490       0.067764
0.175040       0.063738
0.146480       0.058982
0.119990       0.053604
0.095760       0.047811
0.073950       0.041881
0.054680       0.036113
0.038110       0.030750
0.024330       0.025682
0.013380       0.020381
0.005480       0.014376
0.000980       0.007575
0.000000       0.002374
0.000980      -0.002675
0.005480      -0.008511
0.013380      -0.012196
0.024330      -0.013947
0.038110      -0.014217
0.054680      -0.012611
0.073950      -0.008303
0.095760      -0.001757
0.119990       0.005319
0.146480       0.011745
0.175040       0.017421
0.205490       0.022413
0.237600       0.026610
0.271200       0.030055
0.306090       0.032881
0.342040       0.035149
0.378870       0.036877
0.416380       0.038040
0.454350       0.038516
0.492650       0.038182
0.530990       0.037048
0.569370       0.035252
0.607780       0.032983
0.645940       0.030383
0.683590       0.027494
0.720430       0.024320
0.756160       0.020901
0.790480       0.017338
0.823090       0.013759
0.853700       0.010295
0.882020       0.007041
0.907750       0.004033
0.930640       0.001266
0.950440      -0.001411
0.966980      -0.004580
0.980370      -0.007425
0.990700      -0.007524
0.997540      -0.004897
1.000000      -0.003122
