E203  (13.64%)               
   1.00000  0.00000
   0.99645  0.00066
   0.98625  0.00282
   0.97030  0.00660
   0.94932  0.01158
   0.92361  0.01723
   0.89325  0.02333
   0.85854  0.02995
   0.82000  0.03705
   0.77819  0.04450
   0.73369  0.05217
   0.68712  0.05988
   0.63910  0.06741
   0.59028  0.07452
   0.54130  0.08087
   0.49264  0.08604
   0.44460  0.08973
   0.39748  0.09175
   0.35154  0.09203
   0.30704  0.09055
   0.26419  0.08742
   0.22332  0.08289
   0.18486  0.07717
   0.14920  0.07039
   0.11671  0.06271
   0.08772  0.05430
   0.06250  0.04532
   0.04128  0.03597
   0.02427  0.02648
   0.01161  0.01710
   0.00344  0.00823
   0.00002  0.00051
   0.00258 -0.00625
   0.01115 -0.01296
   0.02471 -0.01953
   0.04311 -0.02564
   0.06616 -0.03113
   0.09366 -0.03588
   0.12534 -0.03979
   0.16091 -0.04281
   0.19999 -0.04489
   0.24219 -0.04597
   0.28702 -0.04602
   0.33398 -0.04483
   0.38286 -0.04210
   0.43379 -0.03799
   0.48643 -0.03314
   0.54007 -0.02801
   0.59395 -0.02289
   0.64730 -0.01799
   0.69937 -0.01350
   0.74940 -0.00954
   0.79665 -0.00620
   0.84043 -0.00353
   0.88005 -0.00156
   0.91489 -0.00024
   0.94441  0.00051
   0.96813  0.00076
   0.98561  0.00060
   0.99636  0.00021
   1.00000  0.00000
