OAF128 AIRFOIL
1.0000000 0.0048390
0.9990130 0.0048710
0.9960570 0.0049710
0.9911440 0.0051560
0.9842920 0.0054500
0.9755280 0.0058840
0.9648880 0.0064910
0.9524140 0.0073050
0.9381530 0.0083560
0.9221640 0.0096650
0.9045080 0.0112480
0.8852570 0.0131090
0.8644840 0.0152430
0.8422740 0.0176370
0.8187120 0.0202680
0.7938930 0.0231130
0.7679130 0.0261400
0.7408770 0.0293200
0.7128900 0.0326230
0.6840620 0.0360200
0.6545080 0.0394830
0.6243450 0.0429840
0.5936910 0.0464950
0.5626670 0.0499820
0.5313950 0.0534080
0.5000000 0.0567290
0.4686050 0.0598940
0.4373330 0.0628440
0.4063090 0.0655120
0.3756550 0.0678290
0.3454920 0.0697220
0.3159380 0.0711220
0.2871100 0.0719690
0.2591230 0.0722570
0.2320870 0.0718550
0.2061070 0.0708680
0.1812880 0.0694360
0.1577260 0.0673980
0.1355160 0.0646740
0.1147430 0.0613280
0.0954920 0.0574980
0.0778360 0.0533000
0.0618470 0.0487680
0.0475860 0.0438610
0.0351120 0.0385040
0.0244720 0.0326580
0.0157080 0.0263590
0.0088560 0.0197420
0.0039430 0.0130080
0.0009870 0.0063720
0.0000000 0.0000000
0.0009870 -.0073700
0.0039430 -.0136370
0.0088560 -.0190730
0.0157080 -.0240160
0.0244720 -.0287360
0.0351120 -.0333460
0.0475860 -.0377820
0.0618470 -.0418710
0.0778360 -.0454500
0.0954920 -.0484680
0.1147430 -.0509930
0.1355160 -.0530960
0.1577260 -.0546830
0.1812880 -.0555200
0.2061070 -.0558650
0.2320870 -.0560020
0.2591230 -.0554310
0.2871100 -.0543230
0.3159380 -.0527340
0.3454920 -.0507300
0.3756550 -.0483880
0.4063090 -.0457880
0.4373330 -.0430040
0.4686050 -.0401080
0.5000000 -.0371590
0.5313950 -.0342100
0.5626670 -.0312970
0.5936910 -.0284510
0.6243450 -.0256930
0.6545080 -.0230380
0.6840620 -.0204990
0.7128900 -.0180890
0.7408770 -.0158230
0.7679130 -.0137170
0.7938930 -.0117910
0.8187120 -.0100670
0.8422740 -.0085640
0.8644840 -.0073010
0.8852570 -.0062890
0.9045080 -.0055320
0.9221640 -.0050210
0.9381530 -.0047390
0.9524140 -.0046540
0.9648880 -.0047270
0.9755280 -.0049100
0.9842920 -.0051520
0.9911440 -.0054030
0.9960570 -.0056190
0.9990130 -.0057630
1.0000000 -.0058140
