 E169  (14.4%)                
   1.00000  0.00000
   0.99640  0.00022
   0.98598  0.00115
   0.96948  0.00290
   0.94737  0.00514
   0.91970  0.00771
   0.88673  0.01081
   0.84899  0.01458
   0.80708  0.01904
   0.76168  0.02416
   0.71346  0.02985
   0.66316  0.03596
   0.61148  0.04231
   0.55912  0.04866
   0.50675  0.05477
   0.45499  0.06036
   0.40442  0.06516
   0.35555  0.06889
   0.30884  0.07127
   0.26456  0.07202
   0.22289  0.07110
   0.18408  0.06858
   0.14839  0.06450
   0.11605  0.05896
   0.08721  0.05212
   0.06206  0.04427
   0.04085  0.03567
   0.02379  0.02657
   0.01106  0.01729
   0.00290  0.00819
   0.00000  0.00000
   0.00290 -0.00819
   0.01106 -0.01729
   0.02379 -0.02657
   0.04085 -0.03567
   0.06206 -0.04427
   0.08721 -0.05212
   0.11605 -0.05896
   0.14839 -0.06450
   0.18408 -0.06858
   0.22289 -0.07110
   0.26456 -0.07202
   0.30884 -0.07127
   0.35555 -0.06889
   0.40442 -0.06516
   0.45499 -0.06036
   0.50675 -0.05477
   0.55912 -0.04866
   0.61148 -0.04231
   0.66316 -0.03596
   0.71346 -0.02985
   0.76168 -0.02416
   0.80708 -0.01904
   0.84899 -0.01458
   0.88673 -0.01081
   0.91970 -0.00771
   0.94737 -0.00514
   0.96948 -0.00290
   0.98598 -0.00115
   0.99640 -0.00022
   1.00000  0.00000
