E62  (5.62%)                 
   1.00000  0.00000
   0.99699  0.00098
   0.98840  0.00397
   0.97509  0.00876
   0.95764  0.01463
   0.93610  0.02086
   0.91030  0.02718
   0.88036  0.03363
   0.84665  0.04017
   0.80955  0.04667
   0.76951  0.05301
   0.72697  0.05905
   0.68242  0.06463
   0.63636  0.06957
   0.58925  0.07364
   0.54145  0.07669
   0.49334  0.07861
   0.44527  0.07939
   0.39768  0.07909
   0.35102  0.07778
   0.30578  0.07547
   0.26238  0.07222
   0.22126  0.06806
   0.18280  0.06308
   0.14736  0.05734
   0.11523  0.05094
   0.08672  0.04401
   0.06202  0.03667
   0.04133  0.02910
   0.02476  0.02148
   0.01238  0.01408
   0.00421  0.00720
   0.00024  0.00140
   0.00115 -0.00240
   0.00762 -0.00447
   0.01974 -0.00537
   0.03744 -0.00502
   0.06068 -0.00351
   0.08936 -0.00098
   0.12328  0.00236
   0.16216  0.00630
   0.20561  0.01060
   0.25315  0.01501
   0.30425  0.01928
   0.35828  0.02314
   0.41449  0.02626
   0.47195  0.02854
   0.52982  0.02996
   0.58733  0.03056
   0.64371  0.03032
   0.69823  0.02929
   0.75016  0.02750
   0.79879  0.02504
   0.84347  0.02198
   0.88357  0.01847
   0.91854  0.01462
   0.94785  0.01059
   0.97092  0.00656
   0.98725  0.00308
   0.99685  0.00078
   1.00000  0.00000
