S9032 (9%)
    1.000000  0.000000
    0.999160  0.000010
    0.996650  0.000110
    0.992540  0.000330
    0.986880  0.000710
    0.979750  0.001250
    0.971200  0.001950
    0.961300  0.002770
    0.950090  0.003680
    0.937570  0.004650
    0.923770  0.005680
    0.908720  0.006790
    0.892470  0.007990
    0.875090  0.009280
    0.856630  0.010650
    0.837140  0.012100
    0.816710  0.013630
    0.795380  0.015230
    0.773240  0.016900
    0.750350  0.018630
    0.726780  0.020400
    0.702610  0.022220
    0.677910  0.024070
    0.652780  0.025940
    0.627290  0.027810
    0.601520  0.029650
    0.575530  0.031450
    0.549380  0.033190
    0.523170  0.034870
    0.496970  0.036470
    0.470830  0.037950
    0.444830  0.039330
    0.419040  0.040590
    0.393540  0.041720
    0.368380  0.042690
    0.343640  0.043510
    0.319370  0.044170
    0.295660  0.044650
    0.272550  0.044920
    0.250080  0.045000
    0.228330  0.044880
    0.207360  0.044550
    0.187200  0.043980
    0.167880  0.043190
    0.149470  0.042190
    0.132020  0.040970
    0.115550  0.039490
    0.100070  0.037780
    0.085630  0.035870
    0.072280  0.033750
    0.060030  0.031390
    0.048860  0.028820
    0.038810  0.026090
    0.029940  0.023200
    0.022220  0.020090
    0.015600  0.016840
    0.010110  0.013520
    0.005830  0.010180
    0.002770  0.006720
    0.000780  0.003250
    0.000000  0.000000
    0.000780 -0.003250
    0.002770 -0.006720
    0.005830 -0.010180
    0.010110 -0.013520
    0.015600 -0.016840
    0.022220 -0.020090
    0.029940 -0.023200
    0.038810 -0.026090
    0.048860 -0.028820
    0.060030 -0.031390
    0.072280 -0.033750
    0.085630 -0.035870
    0.100070 -0.037780
    0.115550 -0.039490
    0.132020 -0.040970
    0.149470 -0.042190
    0.167880 -0.043190
    0.187200 -0.043980
    0.207360 -0.044550
    0.228330 -0.044880
    0.250080 -0.045000
    0.272550 -0.044920
    0.295660 -0.044650
    0.319370 -0.044170
    0.343640 -0.043510
    0.368380 -0.042690
    0.393540 -0.041720
    0.419040 -0.040590
    0.444830 -0.039330
    0.470830 -0.037950
    0.496970 -0.036470
    0.523170 -0.034870
    0.549380 -0.033190
    0.575530 -0.031450
    0.601520 -0.029650
    0.627290 -0.027810
    0.652780 -0.025940
    0.677910 -0.024070
    0.702610 -0.022220
    0.726780 -0.020400
    0.750350 -0.018630
    0.773240 -0.016900
    0.795380 -0.015230
    0.816710 -0.013630
    0.837140 -0.012100
    0.856630 -0.010650
    0.875090 -0.009280
    0.892470 -0.007990
    0.908720 -0.006790
    0.923770 -0.005680
    0.937570 -0.004650
    0.950090 -0.003680
    0.961300 -0.002770
    0.971200 -0.001950
    0.979750 -0.001250
    0.986880 -0.000710
    0.992540 -0.000330
    0.996650 -0.000110
    0.999160 -0.000010
    1.000000  0.000000
