 E178  (8.69%)
   1.00000  0.00000
   0.99678  0.00019
   0.98722  0.00086
   0.97156  0.00218
   0.95011  0.00428
   0.92328  0.00726
   0.89158  0.01111
   0.85553  0.01581
   0.81571  0.02124
   0.77271  0.02731
   0.72716  0.03385
   0.67971  0.04067
   0.63103  0.04753
   0.58180  0.05414
   0.53261  0.06005
   0.48378  0.06484
   0.43563  0.06834
   0.38845  0.07036
   0.34250  0.07086
   0.29801  0.06984
   0.25523  0.06750
   0.21461  0.06409
   0.17657  0.05969
   0.14150  0.05444
   0.10977  0.04845
   0.08166  0.04185
   0.05745  0.03476
   0.03731  0.02735
   0.02143  0.01980
   0.00985  0.01236
   0.00263  0.00545
   0.00000 -0.00018
   0.00302 -0.00470
   0.01190 -0.00876
   0.02598 -0.01222
   0.04524 -0.01497
   0.06953 -0.01698
   0.09870 -0.01829
   0.13248 -0.01896
   0.17054 -0.01905
   0.21249 -0.01867
   0.25788 -0.01788
   0.30619 -0.01678
   0.35687 -0.01546
   0.40934 -0.01398
   0.46296 -0.01243
   0.51712 -0.01086
   0.57114 -0.00933
   0.62440 -0.00787
   0.67625 -0.00651
   0.72607 -0.00529
   0.77326 -0.00421
   0.81725 -0.00328
   0.85749 -0.00250
   0.89350 -0.00187
   0.92482 -0.00136
   0.95106 -0.00092
   0.97194 -0.00049
   0.98729 -0.00014
   0.99677 -0.00001
   1.00000  0.00000
