E201  (11.88%)               
   1.00000  0.00000
   0.99653  0.00058
   0.98650  0.00250
   0.97069  0.00589
   0.94977  0.01042
   0.92406  0.01565
   0.89369  0.02141
   0.85899  0.02771
   0.82048  0.03454
   0.77871  0.04176
   0.73427  0.04923
   0.68777  0.05677
   0.63984  0.06419
   0.59110  0.07122
   0.54222  0.07754
   0.49365  0.08271
   0.44572  0.08644
   0.39870  0.08855
   0.35285  0.08895
   0.30843  0.08764
   0.26565  0.08471
   0.22484  0.08042
   0.18642  0.07496
   0.15078  0.06847
   0.11828  0.06112
   0.08925  0.05305
   0.06396  0.04443
   0.04264  0.03545
   0.02547  0.02632
   0.01258  0.01731
   0.00407  0.00876
   0.00011  0.00128
   0.00187 -0.00488
   0.00964 -0.01046
   0.02258 -0.01574
   0.04055 -0.02041
   0.06341 -0.02437
   0.09097 -0.02756
   0.12298 -0.02993
   0.15916 -0.03149
   0.19915 -0.03227
   0.24253 -0.03228
   0.28883 -0.03157
   0.33753 -0.03010
   0.38823 -0.02776
   0.44069 -0.02471
   0.49439 -0.02131
   0.54864 -0.01783
   0.60272 -0.01444
   0.65591 -0.01125
   0.70749 -0.00839
   0.75676 -0.00591
   0.80305 -0.00386
   0.84572 -0.00225
   0.88416 -0.00107
   0.91782 -0.00027
   0.94625  0.00025
   0.96912  0.00051
   0.98602  0.00045
   0.99646  0.00017
   1.00000  0.00000
