E224  (10.17%)               
   1.00000  0.00000
   0.99664  0.00048
   0.98692  0.00205
   0.97152  0.00472
   0.95089  0.00820
   0.92524  0.01226
   0.89489  0.01692
   0.86033  0.02207
   0.82203  0.02756
   0.78048  0.03324
   0.73619  0.03894
   0.68967  0.04450
   0.64143  0.04975
   0.59200  0.05452
   0.54189  0.05869
   0.49160  0.06210
   0.44164  0.06467
   0.39248  0.06628
   0.34460  0.06689
   0.29844  0.06643
   0.25442  0.06489
   0.21293  0.06227
   0.17434  0.05861
   0.13898  0.05396
   0.10714  0.04841
   0.07909  0.04207
   0.05503  0.03508
   0.03517  0.02761
   0.01961  0.01986
   0.00845  0.01212
   0.00179  0.00477
   0.00014 -0.00124
   0.00430 -0.00657
   0.01402 -0.01224
   0.02867 -0.01766
   0.04808 -0.02260
   0.07209 -0.02687
   0.10055 -0.03039
   0.13322 -0.03307
   0.16984 -0.03488
   0.21008 -0.03584
   0.25358 -0.03595
   0.29995 -0.03528
   0.34871 -0.03389
   0.39939 -0.03187
   0.45145 -0.02933
   0.50434 -0.02637
   0.55747 -0.02312
   0.61024 -0.01970
   0.66205 -0.01622
   0.71229 -0.01282
   0.76035 -0.00962
   0.80562 -0.00671
   0.84750 -0.00422
   0.88541 -0.00221
   0.91879 -0.00075
   0.94708  0.00012
   0.96977  0.00047
   0.98639  0.00041
   0.99657  0.00015
   1.00000  0.00000
