S9037 (9%)
 1.00000  0.00000
 0.99917  0.00009
 0.99670  0.00041
 0.99264  0.00099
 0.98705  0.00186
 0.97999  0.00303
 0.97153  0.00449
 0.96173  0.00623
 0.95065  0.00822
 0.93833  0.01045
 0.92483  0.01288
 0.91016  0.01553
 0.89440  0.01839
 0.87765  0.02144
 0.85998  0.02465
 0.84146  0.02797
 0.82212  0.03134
 0.80199  0.03477
 0.78117  0.03823
 0.75972  0.04168
 0.73768  0.04509
 0.71508  0.04844
 0.69201  0.05173
 0.66854  0.05491
 0.64471  0.05797
 0.62059  0.06089
 0.59623  0.06366
 0.57173  0.06624
 0.54712  0.06861
 0.52244  0.07075
 0.49776  0.07268
 0.47317  0.07436
 0.44869  0.07577
 0.42438  0.07691
 0.40030  0.07779
 0.37653  0.07839
 0.35310  0.07870
 0.33007  0.07872
 0.30750  0.07845
 0.28545  0.07788
 0.26397  0.07699
 0.24306  0.07580
 0.22280  0.07432
 0.20325  0.07255
 0.18442  0.07047
 0.16634  0.06810
 0.14905  0.06548
 0.13262  0.06261
 0.11705  0.05947
 0.10236  0.05611
 0.08858  0.05255
 0.07578  0.04880
 0.06394  0.04485
 0.05306  0.04075
 0.04316  0.03654
 0.03429  0.03225
 0.02645  0.02788
 0.01959  0.02347
 0.01375  0.01911
 0.00896  0.01483
 0.00522  0.01066
 0.00247  0.00665
 0.00072  0.00294
 0.00001 -0.00030
 0.00066 -0.00281
 0.00298 -0.00485
 0.00684 -0.00681
 0.01211 -0.00863
 0.01874 -0.01028
 0.02670 -0.01173
 0.03598 -0.01299
 0.04657 -0.01403
 0.05844 -0.01487
 0.07158 -0.01551
 0.08595 -0.01595
 0.10153 -0.01620
 0.11829 -0.01627
 0.13618 -0.01617
 0.15516 -0.01592
 0.17519 -0.01552
 0.19621 -0.01500
 0.21817 -0.01437
 0.24101 -0.01365
 0.26466 -0.01285
 0.28906 -0.01199
 0.31413 -0.01109
 0.33980 -0.01016
 0.36598 -0.00922
 0.39260 -0.00828
 0.41957 -0.00734
 0.44681 -0.00643
 0.47424 -0.00553
 0.50176 -0.00468
 0.52931 -0.00385
 0.55678 -0.00308
 0.58409 -0.00235
 0.61117 -0.00168
 0.63793 -0.00106
 0.66427 -0.00050
 0.69013  0.00000
 0.71543  0.00043
 0.74007  0.00081
 0.76399  0.00113
 0.78711  0.00140
 0.80937  0.00162
 0.83070  0.00178
 0.85104  0.00189
 0.87032  0.00194
 0.88846  0.00193
 0.90542  0.00188
 0.92112  0.00180
 0.93554  0.00169
 0.94863  0.00156
 0.96035  0.00140
 0.97065  0.00120
 0.97948  0.00097
 0.98678  0.00072
 0.99253  0.00047
 0.99667  0.00024
 0.99916  0.00007
 1.00000  0.00000
