  SD7090 (10%)
  1.00000  0.0
  0.99655  0.00050
  0.98664  0.00219
  0.97113  0.00512
  0.95062  0.00882
  0.92522  0.01284
  0.89500  0.01718
  0.86036  0.02188
  0.82176  0.02691
  0.77972  0.03218
  0.73479  0.03760
  0.68754  0.04304
  0.63860  0.04834
  0.58850  0.05329
  0.53777  0.05773
  0.48692  0.06153
  0.43649  0.06457
  0.38699  0.06674
  0.33890  0.06795
  0.29269  0.06814
  0.24878  0.06724
  0.20759  0.06522
  0.16945  0.06206
  0.13467  0.05780
  0.10352  0.05249
  0.07624  0.04621
  0.05297  0.03907
  0.03384  0.03125
  0.01891  0.02298
  0.00827  0.01458
  0.00196  0.00637
  0.00005 -0.00097
  0.00345 -0.00734
  0.01238 -0.01318
  0.02624 -0.01834
  0.04514 -0.02262
  0.06903 -0.02605
  0.09771 -0.02873
  0.13087 -0.03067
  0.16817 -0.03188
  0.20926 -0.03240
  0.25371 -0.03229
  0.30106 -0.03161
  0.35077 -0.03046
  0.40227 -0.02889
  0.45499 -0.02696
  0.50832 -0.02472
  0.56166 -0.02221
  0.61442 -0.01948
  0.66605 -0.01658
  0.71605 -0.01363
  0.76381 -0.01083
  0.80869 -0.00829
  0.85007 -0.00609
  0.88735 -0.00426
  0.92001 -0.00279
  0.94757 -0.00160
  0.96974 -0.00066
  0.98622 -0.00009
  0.99650  0.00004
  1.00001  0.00000
