HSNLF(1)-0213 AIRFOIL
1.0000000 0.0006699
0.9899698 0.0015154
0.9799575 0.0024050
0.9749509 0.0028859
0.9499137 0.0055808
0.9248728 0.0085371
0.9198638 0.0091876
0.8998261 0.0119208
0.8747744 0.0156566
0.8497156 0.0199073
0.8246519 0.0245092
0.8196388 0.0254604
0.7995843 0.0293932
0.7795268 0.0335463
0.7745122 0.0345993
0.7494381 0.0399538
0.7243610 0.0455240
0.6992846 0.0510353
0.6792255 0.0553066
0.6742112 0.0563390
0.6491438 0.0612047
0.6240846 0.0654873
0.5990348 0.0690951
0.5739940 0.0720512
0.5489615 0.0744017
0.5239361 0.0762416
0.4989173 0.0776188
0.4739037 0.0786115
0.4488952 0.0792429
0.4238911 0.0795538
0.3988915 0.0795402
0.3738961 0.0792244
0.3489050 0.0785958
0.3239183 0.0776567
0.2989362 0.0763869
0.2739588 0.0747781
0.2489862 0.0728205
0.2240189 0.0704807
0.1990572 0.0677428
0.1741017 0.0645565
0.1491534 0.0608503
0.1242134 0.0565480
0.0992833 0.0515290
0.0893149 0.0492664
0.0793488 0.0468303
0.0594256 0.0413146
0.0494700 0.0381238
0.0395197 0.0345513
0.0295765 0.0304662
0.0196455 0.0255093
0.0097387 0.0188041
0.0048113 0.0135796
0.0023657 0.0096695
0.0018798 0.0086523
0.0013960 0.0074893
0.0009152 0.0061014
0.0006768 0.0052722
0.0004404 0.0042896
0.0002081 0.0030156
0.0000000 0.0000000
0.0002722 -.0015952
0.0005319 -.0022948
0.0007896 -.0028494
0.0010462 -.0033303
0.0015579 -.0041686
0.0020680 -.0048937
0.0025768 -.0055288
0.0051095 -.0078869
0.0101535 -.0110600
0.0202114 -.0152308
0.0302550 -.0183788
0.0402912 -.0209903
0.0503219 -.0232064
0.0603492 -.0251820
0.0803972 -.0286494
0.0904188 -.0302069
0.1004391 -.0316799
0.1254849 -.0349892
0.1505247 -.0378769
0.1755594 -.0403926
0.2005894 -.0425688
0.2256161 -.0445036
0.2506398 -.0462310
0.2756608 -.0477530
0.3006791 -.0490918
0.3256950 -.0502523
0.3507084 -.0512314
0.3757190 -.0520125
0.4007270 -.0526050
0.4257324 -.0530064
0.4507349 -.0532088
0.4757345 -.0531965
0.5007319 -.0530259
0.5257273 -.0527197
0.5507193 -.0521530
0.5757076 -.0513265
0.6006921 -.0502214
0.6256720 -.0487928
0.6506455 -.0469020
0.6756113 -.0444586
0.6806035 -.0438963
0.7005657 -.0411985
0.7254971 -.0362719
0.7504186 -.0306382
0.7753537 -.0259808
0.7803422 -.0251533
0.8002983 -.0220149
0.8202578 -.0191028
0.8252481 -.0184089
0.8502025 -.0151410
0.8751609 -.0121685
0.9001219 -.0093751
0.9200921 -.0072401
0.9250848 -.0067255
0.9500512 -.0043230
0.9750227 -.0022855
0.9800178 -.0019329
0.9900086 -.0012757
1.0000000 -.0006699
