 DSMA-523B AIRFOIL
1.000000 0.000308
0.980000 0.006842
0.960000 0.012642
0.950000 0.017708
0.920000 0.022185
0.900000 0.026155
0.880000 0.029666
0.860000 0.032780
0.840000 0.035502
0.820000 0.037907
0.800000 0.040043
0.780000 0.041942
0.760000 0.043625
0.740000 0.045130
0.720000 0.046494
0.700000 0.047725
0.680000 0.048832
0.660000 0.049826
0.640000 0.050726
0.620000 0.051540
0.600000 0.052269
0.580000 0.052917
0.560000 0.053486
0.540000 0.053976
0.520000 0.054390
0.500000 0.054723
0.480000 0.054973
0.460000 0.055146
0.440000 0.055247
0.420000 0.055272
0.400000 0.055240
0.380000 0.055149
0.360000 0.054998
0.340000 0.054788
0.320000 0.054513
0.300000 0.054161
0.280000 0.053729
0.260000 0.053199
0.240000 0.052563
0.220000 0.051802
0.200000 0.050902
0.180000 0.049828
0.160000 0.048543
0.140000 0.047017
0.120000 0.045198
0.100000 0.042987
0.080000 0.040367
0.060000 0.037407
0.040000 0.033459
0.030000 0.030729
0.020000 0.026918
0.015000 0.024267
0.012500 0.022651
0.010000 0.020716
0.007500 0.018417
0.005090 0.015320
0.002500 0.011063
0.001000 0.007096
0.000500 0.005069
0.0 0.0
0.000500 -0.005096
0.001000 -0.007128
0.002500 -0.011078
0.005090 -0.015320
0.007500 -0.018417
0.010000 -0.020671
0.012500 -0.022548
0.015000 -0.024135
0.020000 -0.026744
0.030000 -0.030667
0.040000 -0.033607
0.060000 -0.037087
0.080000 -0.041739
0.100000 -0.044648
0.120000 -0.046796
0.140000 -0.048616
0.160000 -0.050114
0.180000 -0.051348
0.200000 -0.052370
0.220000 -0.053207
0.240000 -0.053890
0.260000 -0.054423
0.280000 -0.054808
0.300000 -0.055056
0.320000 -0.055163
0.340000 -0.055137
0.360000 -0.054978
0.380000 -0.054701
0.400000 -0.054283
0.420000 -0.053719
0.440000 -0.053009
0.460000 -0.052143
0.480000 -0.051136
0.500000 -0.049915
0.520000 -0.048483
0.540000 -0.046780
0.560000 -0.044613
0.580000 -0.042006
0.600000 -0.038885
0.620000 -0.035181
0.640000 -0.030940
0.660000 -0.026390
0.680000 -0.021541
0.700000 -0.016958
0.720000 -0.012692
0.740000 -0.008750
0.760000 -0.005200
0.780000 -0.002041
0.800000 0.000686
0.820000 0.002965
0.840000 0.004757
0.860000 0.006021
0.880000 0.006687
0.900000 0.006606
0.920000 0.005630
0.950000 0.003566
0.960000 0.000348
0.980000 -0.004210
1.000000 -0.010109
