E471  (6.25%)                
   1.00000  0.00000
   0.99699  0.00085
   0.98831  0.00344
   0.97463  0.00763
   0.95649  0.01293
   0.93407  0.01878
   0.90737  0.02492
   0.87660  0.03135
   0.84217  0.03797
   0.80453  0.04461
   0.76414  0.05108
   0.72144  0.05712
   0.67681  0.06252
   0.63065  0.06712
   0.58334  0.07077
   0.53527  0.07339
   0.48681  0.07494
   0.43840  0.07550
   0.39052  0.07508
   0.34368  0.07372
   0.29833  0.07143
   0.25493  0.06826
   0.21391  0.06425
   0.17566  0.05946
   0.14054  0.05397
   0.10888  0.04785
   0.08095  0.04121
   0.05695  0.03417
   0.03707  0.02688
   0.02141  0.01953
   0.01002  0.01238
   0.00292  0.00573
   0.00001  0.00023
   0.00239 -0.00342
   0.01071 -0.00580
   0.02439 -0.00732
   0.04344 -0.00777
   0.06777 -0.00722
   0.09726 -0.00574
   0.13171 -0.00347
   0.17080 -0.00059
   0.21417  0.00270
   0.26132  0.00621
   0.31171  0.00975
   0.36472  0.01316
   0.41971  0.01627
   0.47597  0.01894
   0.53279  0.02105
   0.58940  0.02252
   0.64507  0.02328
   0.69902  0.02330
   0.75054  0.02256
   0.79889  0.02112
   0.84341  0.01902
   0.88346  0.01635
   0.91844  0.01322
   0.94783  0.00975
   0.97096  0.00610
   0.98730  0.00287
   0.99687  0.00072
   1.00000  0.00000
