HQ 1.5/9 B AIRFOIL
1.0000000 0.0000000
0.9957200 0.0005000
0.9829600 0.0020100
0.9619400 0.0045700
0.9330100 0.0084000
0.8966800 0.0133200
0.8535500 0.0188600
0.8043801 0.0254100
0.7500000 0.0324300
0.6913400 0.0393900
0.6294100 0.0460200
0.5652600 0.0517000
0.5000000 0.0557800
0.4347400 0.0580500
0.3705900 0.0592800
0.3086600 0.0586100
0.2500000 0.0564600
0.1956200 0.0532800
0.1464500 0.0488500
0.1033200 0.0421800
0.0669900 0.0344800
0.0380600 0.0259800
0.0170400 0.0170300
0.0042800 0.0085300
0.0000000 0.0000000
0.0042800 -.0050400
0.0170400 -.0112000
0.0380600 -.0161900
0.0669900 -.0202600
0.1033200 -.0238400
0.1464500 -.0269900
0.1956200 -.0287700
0.2500000 -.0300500
0.3086600 -.0306000
0.3705900 -.0302400
0.4347400 -.0284300
0.5000000 -.0258000
0.5652600 -.0220900
0.6294100 -.0174900
0.6913400 -.0126600
0.7500000 -.0083900
0.8043801 -.0049400
0.8535500 -.0024600
0.8966800 -.0009800
0.9330100 -.0001300
0.9619400 0.0001600
0.9829600 0.0001100
0.9957200 0.0000300
1.0000000 0.0000000
