Manufacturer,Model,Application(s),Thrust (dry) [lbf],Thrust (wet) [lbf],SFC (dry) [lb/lbf hr],SFC (wet) [lb/lbf hr],Airflow (static) [lb/s],OPR (static),FPR (static),BPR (static),Thrust (cruise) [lbf],SFC (cruise) [lb/lbf hr],Cruise Speed [M],Cruise Altitude [ft],Turbine Inlet Temperature [K],Number of Spools,Fan Stages,LPC Stages,HPC Stages,HPT Stages,IPT Stages,LPT Stages,Fan Diameter [in],Length [in],Width/Diameter [in],Dry Weight [lb]
ACEA,CJ-500,ARJ21 (proposed),18000,,,,,,,,,,,,,2,1,4,10,2,,7,,,,
ACEA,CJ-1000A,C919 (proposed),28200,,,,,,,,,,,,,2,1,3,10,2,,6,,,,
ACEA,CJ-1000B,C919 (proposed),29500,,,,,,,,,,,,,2,1,3,10,2,,6,,,,
ACEA,CJ-2000,C929 (proposed),78000,,,,,,,,,,,,,2,1,4,10,2,,7,,,,
Agilis Engines,TF800,,800,,,,,,,,,,,,,,,,,,,,,,,
Agilis Engines,TF1000,S-26 Safire (not produced),1000,,0.4,,,,,,270,0.64,0.6,30000,,,,,,,,,,56,23,285
Agilis Engines,TF1200,,1288,,0.41,,,,,,400,0.66,0.6,30000,,,,,,,,,,56,23,285
Agilis Engines,TF1400,,1400,,0.41,,,,,,400,0.66,0.6,30000,,,,,,,,,,56,23,300
Agilis Engines,TF1500,,1500,,0.41,,,,,,397,0.68,0.6,30000,,,,,,,,,,56,23,300
Agilis Engines,TJ60,,60,,1.24,,,,,,30,1.5,0.9,20000,,,,,,,,,,13.5,5,9
Agilis Engines,TJ75,,75,,1.24,,,,,,48,1.5,0.9,20000,,,,,,,,,,13.5,7,10
Agilis Engines,TJ80,,72,,1.24,,,,,,48,1.5,0.9,20000,,,,,,,,,,13.5,5,9
Agilis Engines,TJ400,,403,,0.9,,,,,,,,,,,,,,,,,,,30,15,136
AlliedSignal (Honeywell),AS905,Falcon 7X (candidate engine),,,,,,,,,,,,,,,,,,,,,,,,
AlliedSignal (Honeywell),AS907-1-1A,Challenger 300,6944,,0.42,,,21,,4.5,,,,,,2,1,4B,1C,2,,3,34.2,92.4,46.3,1534
AlliedSignal (Honeywell),AS907-2-1A,Challenger 300,7530,,,,,,,4.5,,,,,,2,1,4B,1C,2,,3,34.2,92.4,46.3,1534
AlliedSignal (Honeywell),AS907-2-1G,G280,7765,,,,,,,4.5,,,,,,2,1,4B,1C,2,,3,34.2,92.4,46.3,1534
AlliedSignal (Honeywell),AS907-2-1S,Citation Longitude,7550,,,,,,,4.5,,,,,,2,1,4B,1C,2,,3,34.2,92.4,46.3,1534
AlliedSignal (Honeywell),AS907-3-1E,"Legacy 450/500, Praetor 500/600",7638,,,,,,,4.5,,,,,,2,1,4B,1C,2,,3,34.2,92.4,46.3,1514
AlliedSignal (Honeywell),AS977-1A,"RJX-70/-85/-100/-115, SL-100 (not produced)",7100,,0.416,,,23,,4.5,,,,,,2,1,4B,1C,2,,3,34.2,92.4,49.9,1364
Allison (Rolls-Royce),AE3007A,"ERJ-135ER, ERJ-145/EP/ER/EU",7580,,0.36,,294,24,,5.3,,,,,,2,1,,14,3,,2,38.5,115.1,55.7,1615
Allison (Rolls-Royce),AE3007A1,"ERJ-135ER, ERJ-145EP/ER/EU/LR/LU/MK/MP/MR",7580,,0.36,,294,24,,5.3,,,,,,2,1,,14,3,,2,38.5,115.1,55.7,1625
Allison (Rolls-Royce),AE3007A1P,"ERJ-145EP/ER/EU/LR/LU/MK/MP/MR, Legacy 600",8338,,,,,,,5.3,,,,,,2,1,,14,3,,2,38.5,115.1,55.7,1657
