Manufacturer,Model,Application(s),Power,SFC (TO) [shp],Airflow (TO) [lb/shp hr],OPR (TO) [lb/s],Number of Spools,LPC Stages,HPC Stages,HPT Stages,IPT Stages,LPT Stages,Length [in],Width/Diameter [in],Weight (dry) [lb]
Allison,250-B15,(see T63-A-100),,,,,,,,,,,,,
Allison,250-B17,Mantis,380,,4,,1 + FT,,6 + 1C,2,,2,44.8,22.5,195
Allison,250-B17C,"P68TP, A36, GZ22",420,0.657,4,7.2,1 + FT,,6 + 1C,2,,2,45,22.5,195
Allison,250-B17D,"RTAF 5, L/M90TP",420,0.657,4,7.2,1 + FT,,6 + 1C,2,,2,44.9,22.6,195
Allison,250-B17F,L/M90TP,450,0.657,4,7.9,1 + FT,,4 + 1C,2,,2,44.9,22.6,212
Allison,250-C18,"TH-57A, MD 500M",317,0.64,4,7.2,1 + FT,,6 + 1C,2,,2,40.4,22.5,141
Allison,250-C18A,"OH-58A, MD 500M",317,0.64,4,7.2,1 + FT,,6 + 1C,2,,2,40.4,22.5,141
Allison,250-C18C,"OH-58A, MD 500M",317,0.64,4,7.2,1 + FT,,6 + 1C,2,,2,40.4,22.5,141
Allison,250-C20,BO105C/CB,400,0.65,4,7.2,1 + FT,,6 + 1C,2,,2,40.8,23.2,158
Allison,250-C20B,"OH-58C, MD 500D/MD, A109A, BO105CBS/CBS-4/CBS-5/M/P, Kania, CH-14",420,0.65,4,7.2,1 + FT,,6 + 1C,2,,2,40.8,23.2,158
MTU,250-MTU-C20B,BO105M/P,420,0.65,4,7.2,1 + FT,,6 + 1C,2,,2,40.8,23.2,158
Allison,250-C20F,AS355M/M2,420,,,,1 + FT,,6 + 1C,2,,2,40.8,23.2,158
Allison,250-C20J,"TH-57B/C/D, TH-67A",420,0.65,4,7.2,1 + FT,,6 + 1C,2,,2,40.8,23.2,158
Allison,250-C20R,QH-50E,450,,4,7.2,1 + FT,,6 + 1C,2,,2,40.9,23.2,159
Allison,250-C20R/1,"A109A Mk.2, A190 EOA, A109CM",450,0.608,,7.9,1 + FT,,4 + 1C,2,,2,40.9,23.2,159
Allison,250-C20R/2,"Ka-226, SW-4",450,0.608,,7.9,1 + FT,,4 + 1C,2,,2,40.9,23.2,159
Allison,250-C20W,"RQ-8A, MQ-8B",420,0.65,4,7.2,1 + FT,,6 + 1C,2,,2,40.8,22.6,159
Allison,250-C28C,BO105LS/LS-A1/LS-A3,500,0.606,4,8.4,1 + FT,,1C,2,,2,47.3,25.1,230
Allison,250-C30,"AH-6J, MH-6J, MD 530MG, FT600, S-76A, ULB/MD530F",650,,,,1 + FT,,1C,2,,2,,,
Allison,250-C30L,Bell 406CS,650,0.592,6,8.6,1 + FT,,1C,2,,2,43.2,25.5,258
Allison,250-C30R,"AH-58D, OH-58D",650,0.592,6,8.4,1 + FT,,1C,2,,2,43.2,25.5,258
Allison,250-C30R/1,"AH-58D, OH-58D",650,0.592,6,8.4,1 + FT,,1C,2,,2,43.2,25.5,258
