Complexity,Loss,Equation
1,0.08333294,"0.5000132"
2,0.039463844,"exp(Cp0)"
3,0.013466391,"(1.4526724 ^ Cp0)"
4,0.013466389,"(exp(Cp0) ^ 0.37346688)"
5,0.0006170063,"((1.1240991 - Cp0) ^ -0.6558461)"
6,0.00049701973,"(log(2.8504598 - Cp0) ^ -1.6724508)"
7,3.553482e-5,"((1.0705346 - (Cp0 / 0.4686677)) ^ -0.46763134)"
9,3.3458862e-5,"(((1.0644038 - (Cp0 * 2.1142623)) ^ -0.46501687) - 0.0033434934)"
10,2.4529241e-5,"((log(1.1769116 - Cp0) - (Cp0 - 0.88817716)) ^ -0.55794555)"
11,2.099207e-6,"((1.0083619 - (Cp0 - ((-0.51058894 * Cp0) ^ 0.6553655))) ^ -0.5536965)"
13,2.0973448e-6,"((1.0083619 - (Cp0 - (((-0.51058894 * Cp0) / 0.9986295) ^ 0.6553655))) ^ -0.5536965)"
15,7.1028575e-7,"(((((Cp0 / ((Cp0 - 0.18179707) * 0.8826664)) ^ Cp0) - Cp0) - Cp0) ^ -0.48441356)"
17,2.3897235e-7,"(((((((Cp0 / 0.8823591) / (Cp0 - 0.17452866)) ^ Cp0) - Cp0) - Cp0) ^ -0.48315752) + -0.0014390646)"
19,1.6680511e-7,"(((((((Cp0 / ((Cp0 - 0.16901289) * 0.8823591)) ^ Cp0) ^ 1.0361762) - Cp0) - Cp0) ^ -0.48315752) + -0.0015156892)"
