Complexity,Loss,Equation
1,0.1158738,"0.45124623"
2,0.06589073,"hf"
4,0.015193347,"(hf ^ 0.4527168)"
6,0.0142274145,"((hf * 1.1945791) ^ 0.517665)"
7,0.012499606,"(hf ^ (0.696885 - hf))"
8,0.012140687,"(hf ^ log(1.8106138 - hf))"
9,0.011961372,"((hf ^ (0.6371389 - hf)) / 1.0746772)"
11,0.011928853,"(((hf ^ (0.6985578 - hf)) ^ 0.8931452) * 0.9479045)"
12,0.011052543,"((hf ^ (0.7610516 - hf)) ^ (0.9567992 ^ a))"
14,0.010812381,"(((hf ^ (0.71524966 - hf)) ^ (0.9579148 ^ a)) / 1.0485795)"
16,0.010730323,"(((hf * (0.95777583 ^ (0.91195476 - a))) ^ (0.69792336 - hf)) * 0.95777583)"
17,0.010255912,"((hf ^ (0.6942179 - hf)) - (hf / exp(lr - a)))"
18,0.00972316,"((hf ^ (0.6592487 - hf)) + (hf / ((-1.5250217 - lr) + a)))"
20,0.009404607,"((hf ^ (0.6714163 - hf)) + ((hf * 0.4951142) / ((a / 1.101182) - lr)))"
21,0.008980108,"(((hf ^ (0.76101226 - hf)) ^ (0.9542335 ^ a)) - (0.50603575 / exp(lr - a)))"
22,0.008655259,"(((hf ^ (0.76101226 - hf)) ^ (0.9542335 ^ a)) - (hf / exp(lr - a)))"
23,0.008382303,"(((hf ^ (0.7600737 - hf)) ^ (0.9542335 ^ a)) - ((0.4569357 / exp(lr - a)) ^ 1.7527086))"
24,0.008344767,"(((hf ^ (0.7600737 - hf)) ^ (0.9542335 ^ a)) - ((hf ^ 1.4323575) / exp(lr - a)))"
25,0.007658986,"(((hf ^ (0.75974834 - hf)) ^ (0.95581377 ^ a)) - ((((2.0204604 ^ a) / exp(lr)) * 40.58385) ^ 2.0204604))"
27,0.0076395315,"(((hf ^ (0.75974834 - hf)) ^ (0.95581377 ^ a)) - ((((2.0204604 ^ a) / exp(lr)) * 40.58385) ^ (2.0204604 / 1.0892049)))"
28,0.007127041,"(((hf ^ (0.7600737 - hf)) ^ (0.9542335 ^ a)) - (((1.8605599 ^ a) / exp(lr)) * ((42.82354 ^ hf) * 9.282203)))"
29,0.00684587,"(((hf ^ (0.7600737 - hf)) ^ (0.95557547 ^ a)) - (((2.0141656 ^ a) / (exp(lr) / d)) * (42.036045 ^ hf)))"
30,0.006576515,"(((hf ^ (0.7599039 - hf)) ^ (0.9542263 ^ a)) - (((1.8605577 ^ a) / exp(lr)) * ((6.21792 ^ exp(hf)) * d)))"
32,0.0064994944,"(((hf ^ (0.76026005 - hf)) ^ (0.95255244 ^ a)) - (((1.851119 ^ a) / exp(lr)) * (((6.2175717 ^ exp(hf)) + 6.3957124) * d)))"
34,0.0064984816,"(((hf ^ (0.76026005 - hf)) ^ (0.95255244 ^ a)) - (((1.851119 ^ a) / exp(lr)) * ((((6.2175717 ^ exp(hf)) + 6.3957124) * d) - 2.3961494)))"
35,0.0064385077,"(((hf ^ (0.7525903 - hf)) ^ (0.95679784 ^ a)) - (((2.01557 ^ a) / (exp(lr) / d)) * ((40.583805 ^ hf) + exp(-1.0280842 ^ a))))"
36,0.006368702,"(((hf ^ (0.7525903 - hf)) ^ (0.95679784 ^ a)) - (((2.01557 ^ a) / (exp(lr) / d)) * ((40.583805 ^ hf) + ((-1.0280842 ^ a) / 0.23906532))))"
37,0.00630257,"(((hf ^ (0.7525903 - hf)) ^ (0.95679784 ^ a)) - (((2.01557 ^ a) / (exp(lr) / d)) * ((40.583805 ^ hf) + exp((-1.0280842 ^ a) / 0.6933081))))"
38,0.006165793,"(((hf ^ (0.7525903 - hf)) ^ (0.957887 ^ a)) - (((1.9729894 ^ a) / (exp(lr) / (d - -1.9355894))) * ((40.583805 ^ hf) + ((-1.0488882 ^ a) / 0.30004865))))"
40,0.00613411,"(((hf ^ (0.7525903 - hf)) ^ (0.957887 ^ a)) - (((1.9729894 ^ a) / (exp(lr) / (d - -1.6532717))) * (((40.583805 ^ hf) + ((-1.0488882 ^ a) / 0.30004865)) + 1.5531794)))"
