AS5048 (18%)
1.0000 .00150  
.99795 .00261 
.99261 .00526 
.98429 .00834  
.97271 .01198  
.95837 .01595 
.94112 .01990  
.92072 .02396  
.89732 .02822  
.87111 .03280  
.84231 .03773  
.81114 .04314 
.77793 .04906 
.74304 .05563  
.70708 .06281 
.67063 .07045 
.63428 .07812 
.59851 .08492 
.56284 .09044  
.52688 .09468  
.49071 .09776  
.45445 .09986  
.41832 .10106  
.38251 .10140  
.34725 .10094  
.31275 .09972
.27924 .09776
.24695 .09505
.21603 .09161
.18663 .08747
.15891 .08271
.13309 .07739
.10936 .07152
.08785 .06502
.06852 .05792
.05146 .05041 
.03674 .04254 
.02438 .03444
.01454 .02625
.00721 .01805
.00240 .01003
.00014 .00239
.00041 -.00424
.00441 -.00990 
.01248 -.01556
.02377 -.02150
.03798 -.02765
.05482 -.03390
.07412 -.04008
.09574 -.04606
.11951 -.05174
.14532 -.05699
.17306 -.06177
.20256 -.06603
.23366 -.06976
.26613 -.07290
.29980 -.07540
.33444 -.07722
.36986 -.07831
.40583 -.07864
.44212 -.07817
.47846 -.07674
.51476 -.07422
.55088 -.07046
.58702 -.06529
.62334 -.05893
.65996 -.05165  
.69717 -.04405
.73423 -.03698
.77029 -.03077
.80489 -.02531
.83759 -.02055
.86800 -.01650
.89575 -.01309
.92048 -.01021
.94185 -.00763
.96018 -.00471
.97608 -.00204
.98886 -.00090
.99713 -.00109
1.0000 -.00149
http://amber.aae.uiuc.edu/~ashok/kr2/airfoils/tests/
