USA-35B AIRFOIL
1.0000000 -.0251000
0.9500000 -.0126000
0.9000000 -.0004000
0.8000000 0.0226000
0.7000000 0.0432000
0.6000000 0.0605000
0.5000000 0.0757000
0.4000000 0.0866000
0.3000000 0.0900000
0.2000000 0.0852000
0.1500000 0.0780000
0.1000000 0.0669000
0.0750000 0.0589000
0.0500000 0.0476000
0.0250000 0.0335000
0.0125000 0.0239000
0.0000000 0.0000000
0.0125000 -.0173000
0.0250000 -.0213000
0.0500000 -.0248000
0.0750000 -.0262000
0.1000000 -.0269000
0.1500000 -.0276000
0.2000000 -.0270000
0.3000000 -.0261000
0.4000000 -.0250000
0.5000000 -.0237000
0.6000000 -.0231000
0.7000000 -.0234000
0.8000000 -.0241000
0.9000000 -.0256000
0.9500000 -.0264000
1.0000000 -.0276000
