DRAGONFLY CANARD
1.0000000 0.0000000
0.9923993 0.0020880
0.9789165 0.0058041
0.9631459 0.0101742
0.9457506 0.0150235
0.9274510 0.0201603
0.9087250 0.0254544
0.8898250 0.0308382
0.8708630 0.0362789
0.8518957 0.0417615
0.8329656 0.0472762
0.8141143 0.0528190
0.7953659 0.0584011
0.7767314 0.0640372
0.7582108 0.0697446
0.7397921 0.0755411
0.7214391 0.0814578
0.7030689 0.0875234
0.6846015 0.0937368
0.6660159 0.1000650
0.6473631 0.1064491
0.6287965 0.1127943
0.6104801 0.1189999
0.5925030 0.1249652
0.5748784 0.1306111
0.5575834 0.1358796
0.5405811 0.1407256
0.5238335 0.1451140
0.5072857 0.1490139
0.4908638 0.1524111
0.4745027 0.1553063
0.4581774 0.1577047
0.4418859 0.1595972
0.4256004 0.1609678
0.4092597 0.1618164
0.3928149 0.1621598
0.3762569 0.1620161
0.3596047 0.1614033
0.3428982 0.1603344
0.3261755 0.1588125
0.3094666 0.1568438
0.2927934 0.1544291
0.2761710 0.1515715
0.2596113 0.1482752
0.2431323 0.1445470
0.2267510 0.1403919
0.2104903 0.1358162
0.1943784 0.1308288
0.1784441 0.1254346
0.1627235 0.1196449
0.1472595 0.1134707
0.1321090 0.1069300
0.1173461 0.1000490
0.1030717 0.0928688
0.0894156 0.0854478
0.0765326 0.0778690
0.0646016 0.0702568
0.0538113 0.0627835
0.0443123 0.0556434
0.0361713 0.0490064
0.0293351 0.0429706
0.0236648 0.0375507
0.0189834 0.0327004
0.0151171 0.0283474
0.0119110 0.0244164
0.0092433 0.0208453
0.0070160 0.0175760
0.0051572 0.0145612
0.0036141 0.0117609
0.0023466 0.0091410
0.0013409 0.0066716
0.0005989 0.0043226
0.0001457 0.0020791
0.0000000 0.0000000
0.0001805 -.0021814
0.0007254 -.0043563
0.0016289 -.0065105
0.0028783 -.0086312
0.0044806 -.0106863
0.0064676 -.0126248
0.0088683 -.0143915
0.0117057 -.0159566
0.0150096 -.0173100
0.0188391 -.0184784
0.0232904 -.0195358
0.0285087 -.0206030
0.0346850 -.0217715
0.0420663 -.0230410
0.0509365 -.0243420
0.0616005 -.0256040
0.0743312 -.0267916
0.0891285 -.0279337
0.1055755 -.0289830
0.1231631 -.0298795
0.1414954 -.0306087
0.1603064 -.0311991
0.1794002 -.0316631
0.1986707 -.0320168
0.2180541 -.0322683
0.2375143 -.0324307
0.2570233 -.0325080
0.2765712 -.0325062
0.2961400 -.0324295
0.3157297 -.0322787
0.3353333 -.0320599
0.3549327 -.0317761
0.3744961 -.0314273
0.3939943 -.0309987
0.4134563 -.0304722
0.4329322 -.0298456
0.4524549 -.0291260
0.4720535 -.0283253
0.4917410 -.0274584
0.5115053 -.0265464
0.5313196 -.0256013
0.5511649 -.0246262
0.5710391 -.0236260
0.5909453 -.0226027
0.6108834 -.0215655
0.6308455 -.0205211
0.6508187 -.0194718
0.6707878 -.0184254
0.6907469 -.0173861
0.7106941 -.0163568
0.7306303 -.0153385
0.7505585 -.0143333
0.7704768 -.0133430
0.7903870 -.0123678
0.8102773 -.0114096
0.8301386 -.0104724
0.8499590 -.0095623
0.8697084 -.0086753
0.8892588 -.0077757
0.9084961 -.0068145
0.9273193 -.0057571
0.9455405 -.0045867
0.9628015 -.0033160
0.9785467 -.0020097
0.9921971 -.0007620
1.0000000 0.0000000
