DAE-21 AIRFOIL
1.0000000 -.0000000
0.9867118 0.0024176
0.9703616 0.0054910
0.9476904 0.0100812
0.9177019 0.0167402
0.8872915 0.0241162
0.8571590 0.0319612
0.8268646 0.0402772
0.7962591 0.0489752
0.7652836 0.0579302
0.7341761 0.0669101
0.7033536 0.0756151
0.6728732 0.0838491
0.6427197 0.0914251
0.6128333 0.0981911
0.5831829 0.1041271
0.5537366 0.1092231
0.5244452 0.1134791
0.4952380 0.1169041
0.4660367 0.1195231
0.4367895 0.1213641
0.4075043 0.1224241
0.3782181 0.1226940
0.3489769 0.1221590
0.3198298 0.1208060
0.2908337 0.1186110
0.2620447 0.1155580
0.2335497 0.1116249
0.2054597 0.1067869
0.1779137 0.1010179
0.1510838 0.0942810
0.1251679 0.0865420
0.1004421 0.0778091
0.0773093 0.0681312
0.0563235 0.0576674
0.0381738 0.0467397
0.0235491 0.0358572
0.0128414 0.0257007
0.0058726 0.0168344
0.0019499 0.0094143
0.0000000 0.0000000
0.0007544 -.0051560
0.0021685 -.0080058
0.0043676 -.0102378
0.0077967 -.0120597
0.0136487 -.0135165
0.0242638 -.0146061
0.0416670 -.0150185
0.0659711 -.0144016
0.0945612 -.0130036
0.1252703 -.0110646
0.1569084 -.0088454
0.1890175 -.0064893
0.2213756 -.0040902
0.2537097 -.0017130
0.2859448 0.0006071
0.3180979 0.0028502
0.3501810 0.0049924
0.3821912 0.0070175
0.4141243 0.0088996
0.4459834 0.0106108
0.4777645 0.0121389
0.5094687 0.0134480
0.5411229 0.0145161
0.5727550 0.0153362
0.6043642 0.0159113
0.6359443 0.0162274
0.6675085 0.0162705
0.6990697 0.0160426
0.7306199 0.0155557
0.7621321 0.0147988
0.7936034 0.0137559
0.8250546 0.0124160
0.8565398 0.0107781
0.8882250 0.0088442
0.9200413 0.0066313
0.9485005 0.0044452
0.9702268 0.0026420
0.9865699 0.0012025
1.0000000 0.0000000
