K3311  (original)
   1.0000000     0.0000000  
   0.9500000     0.0104300  
   0.9000000     0.0200900  
   0.8500000     0.0293100  
   0.8000000     0.0384200  
   0.7500000     0.0467000  
   0.7000000     0.0547600  
   0.6500000     0.0617000  
   0.6000000     0.0689500  
   0.5500000     0.0748500  
   0.5000000     0.0796600  
   0.4500000     0.0834700  
   0.4000000     0.0861800  
   0.3500000     0.0870200  
   0.3000000     0.0859500  
   0.2500000     0.0831000  
   0.2000000     0.0777600  
   0.1500000     0.0696600  
   0.1000000     0.0574800  
   0.0800000     0.0513000  
   0.0600000     0.0441200  
   0.0400000     0.0349800  
   0.0200000     0.0232700  
   0.0100000     0.0156300  
   0.0000000     0.0000000  
   0.0100000    -0.0103600  
   0.0200000    -0.0128500  
   0.0400000    -0.0163500  
   0.0600000    -0.0189600  
   0.0800000    -0.0204500  
   0.1000000    -0.0216900  
   0.1500000    -0.0238700  
   0.2000000    -0.0249200  
   0.2500000    -0.0246800  
   0.3000000    -0.0240500  
   0.3500000    -0.0226000  
   0.4000000    -0.0211300  
   0.4500000    -0.0188300  
   0.5000000    -0.0160800  
   0.5500000    -0.0132700  
   0.6000000    -0.0105300  
   0.6500000    -0.0081200  
   0.7000000    -0.0059200  
   0.7500000    -0.0039600  
   0.8000000    -0.0023200  
   0.8500000    -0.0012100  
   0.9000000    -0.0005100  
   0.9500000    -0.0005400  
   1.0000000     0.0000000  
