LDS-2 AIRFOIL
1.000000 0.000000
0.950200 0.008912
0.900500 0.017584
0.850700 0.026352
0.800800 0.035078
0.750500 0.043616
0.700900 0.051586
0.650800 0.059006
0.600600 0.065628
0.550300 0.071270
0.500000 0.075742
0.449600 0.078800
0.399200 0.080180
0.348800 0.080320
0.300000 0.078760
0.250000 0.076000
0.200000 0.071660
0.175000 0.068800
0.150000 0.065400
0.125000 0.061386
0.100000 0.056496
0.075000 0.050484
0.050000 0.042726
0.037500 0.037762
0.025000 0.031500
0.012500 0.022728
0.005000 0.014580
0.002000 0.009474
0.000000 0.000000
0.002000 -0.005484
0.005000 -0.008754
0.012500 -0.013108
0.025000 -0.017282
0.037500 -0.020250
0.050000 -0.022680
0.075000 -0.026610
0.100000 -0.029720
0.125000 -0.032260
0.150000 -0.034368
0.175000 -0.036120
0.200000 -0.037440
0.250000 -0.039360
0.300000 -0.039900
0.348800 -0.039420
0.399200 -0.037900
0.449600 -0.035574
0.500000 -0.032588
0.550300 -0.029338
0.600600 -0.025976
0.650800 -0.022670
0.700900 -0.019420
0.750500 -0.016202
0.800800 -0.012994
0.850700 -0.009776
0.900500 -0.006536
0.950200 -0.003272
1.000000 0.000000
