 E176  (8.83%)                
   1.00000  0.00000
   0.99678  0.00031
   0.98727  0.00132
   0.97179  0.00320
   0.95073  0.00595
   0.92447  0.00956
   0.89342  0.01397
   0.85806  0.01914
   0.81892  0.02499
   0.77659  0.03141
   0.73165  0.03823
   0.68475  0.04528
   0.63652  0.05232
   0.58763  0.05911
   0.53871  0.06522
   0.49013  0.07021
   0.44218  0.07388
   0.39516  0.07604
   0.34934  0.07662
   0.30496  0.07560
   0.26220  0.07316
   0.22148  0.06954
   0.18324  0.06488
   0.14785  0.05932
   0.11568  0.05298
   0.08703  0.04598
   0.06216  0.03848
   0.04129  0.03065
   0.02457  0.02268
   0.01210  0.01480
   0.00391  0.00737
   0.00010  0.00105
   0.00179 -0.00384
   0.00934 -0.00782
   0.02220 -0.01113
   0.04033 -0.01367
   0.06361 -0.01540
   0.09190 -0.01637
   0.12494 -0.01666
   0.16243 -0.01635
   0.20396 -0.01556
   0.24910 -0.01438
   0.29731 -0.01292
   0.34805 -0.01127
   0.40072 -0.00954
   0.45470 -0.00779
   0.50931 -0.00612
   0.56391 -0.00455
   0.61782 -0.00315
   0.67039 -0.00194
   0.72097 -0.00095
   0.76894 -0.00019
   0.81371  0.00035
   0.85472  0.00067
   0.89145  0.00080
   0.92343  0.00077
   0.95024  0.00065
   0.97157  0.00050
   0.98718  0.00032
   0.99676  0.00011
   1.00000  0.00000
