E210  (13.64%)               
   1.00000  0.00000
   0.99649  0.00099
   0.98657  0.00414
   0.97139  0.00936
   0.95177  0.01587
   0.92780  0.02285
   0.89930  0.03003
   0.86643  0.03752
   0.82966  0.04531
   0.78948  0.05329
   0.74640  0.06133
   0.70096  0.06928
   0.65374  0.07698
   0.60532  0.08427
   0.55630  0.09093
   0.50729  0.09677
   0.45890  0.10148
   0.41157  0.10470
   0.36556  0.10619
   0.32115  0.10583
   0.27857  0.10360
   0.23805  0.09952
   0.19976  0.09375
   0.16395  0.08656
   0.13099  0.07822
   0.10119  0.06893
   0.07485  0.05890
   0.05220  0.04836
   0.03344  0.03755
   0.01874  0.02675
   0.00820  0.01630
   0.00192  0.00664
   0.00011 -0.00142
   0.00415 -0.00786
   0.01439 -0.01363
   0.02986 -0.01884
   0.05040 -0.02327
   0.07585 -0.02686
   0.10596 -0.02961
   0.14043 -0.03150
   0.17889 -0.03256
   0.22092 -0.03282
   0.26604 -0.03226
   0.31370 -0.03090
   0.36333 -0.02858
   0.41467 -0.02499
   0.46778 -0.02034
   0.52228 -0.01529
   0.57738 -0.01033
   0.63227 -0.00574
   0.68610 -0.00175
   0.73807  0.00150
   0.78735  0.00390
   0.83317  0.00541
   0.87478  0.00603
   0.91146  0.00582
   0.94253  0.00486
   0.96733  0.00340
   0.98536  0.00181
   0.99632  0.00051
   1.00000  0.00000
