 JN-153 AIRFOIL
1.0000000 0.0000000
0.9991000 0.0002899
0.9964999 0.0012297
0.9924098 0.0028394
0.9870196 0.0050289
0.9804294 0.0076184
0.9726491 0.0104177
0.9635389 0.0133169
0.9530086 0.0163660
0.9410683 0.0196250
0.9277580 0.0231239
0.9131376 0.0268627
0.8972373 0.0308713
0.8801369 0.0351299
0.8618765 0.0396684
0.8425361 0.0444767
0.8221756 0.0495550
0.8008952 0.0549132
0.7787746 0.0605414
0.7558842 0.0664294
0.7323436 0.0725774
0.7082430 0.0789754
0.6837024 0.0856033
0.6588019 0.0924412
0.6336913 0.0994591
0.6084706 0.1066470
0.5832899 0.1139449
0.5582593 0.1213228
0.5335387 0.1287307
0.5092680 0.1360686
0.4856274 0.1432666
0.4621668 0.1501547
0.4410162 0.1565829
0.4205357 0.1618912
0.4006254 0.1653795
0.3805552 0.1675978
0.3605051 0.1689361
0.3405550 0.1694744
0.3207950 0.1692927
0.3012951 0.1684411
0.2821152 0.1669495
0.2633153 0.1648079
0.2449555 0.1620163
0.2269858 0.1585748
0.2094461 0.1545733
0.1923665 0.1500419
0.1758069 0.1450405
0.1598074 0.1396091
0.1444078 0.1337778
0.1296683 0.1275665
0.1156189 0.1210354
0.1023195 0.1141842
0.0897900 0.1070132
0.0780207 0.0995421
0.0670013 0.0918412
0.0567520 0.0839603
0.0473026 0.0759595
0.0386633 0.0678788
0.0308640 0.0597981
0.0239147 0.0517375
0.0178253 0.0437770
0.0126160 0.0359566
0.0082966 0.0283462
0.0048772 0.0210059
0.0023478 0.0140157
0.0000000 0.0000000
0.0002448 -.0039587
0.0014097 -.0085644
0.0037100 -.0118342
0.0077802 -.0139739
0.0138803 -.0155934
0.0217205 -.0168227
0.0311905 -.0177319
0.0422306 -.0183310
0.0547706 -.0186599
0.0687607 -.0187488
0.0841207 -.0186075
0.1008206 -.0182660
0.1187706 -.0177345
0.1379206 -.0170229
0.1581905 -.0161412
0.1795105 -.0151094
0.2018104 -.0139275
0.2250103 -.0125855
0.2490302 -.0110935
0.2737901 -.0093814
0.2992899 -.0073792
0.3256098 -.0051770
0.3526796 -.0028747
0.3803894 -.0005424
0.4086592 0.0017600
0.4373591 0.0040024
0.4664090 0.0061549
0.4956888 0.0081774
0.5250887 0.0100399
0.5545086 0.0117423
0.5838385 0.0132448
0.6129584 0.0145373
0.6417583 0.0156197
0.6701383 0.0164721
0.6979983 0.0170845
0.7252083 0.0174668
0.7516882 0.0175990
0.7773083 0.0175112
0.8019983 0.0171833
0.8256284 0.0166453
0.8481285 0.0158872
0.8693987 0.0149390
0.8893387 0.0138207
0.9078789 0.0125422
0.9249290 0.0111337
0.9404091 0.0096150
0.9542593 0.0080361
0.9663894 0.0064072
0.9767196 0.0047680
0.9851497 0.0032387
0.9916798 0.0019193
0.9963199 0.0008897
0.9990800 0.0002299
1.0000000 0.0000000
