OAF095 AIRFOIL
1.0000000 0.0001690
0.9990130 0.0003150
0.9960570 0.0007580
0.9911440 0.0015120
0.9842920 0.0025990
0.9755280 0.0040430
0.9648880 0.0058660
0.9524140 0.0080810
0.9381530 0.0106910
0.9221640 0.0136870
0.9045080 0.0170420
0.8852570 0.0207170
0.8644840 0.0246600
0.8422740 0.0288130
0.8187120 0.0331140
0.7938930 0.0374990
0.7679130 0.0419080
0.7408770 0.0462840
0.7128900 0.0505740
0.6840620 0.0547270
0.6545080 0.0586910
0.6243450 0.0624140
0.5936910 0.0658400
0.5626670 0.0689110
0.5313950 0.0715720
0.5000000 0.0737740
0.4686050 0.0754860
0.4373330 0.0767050
0.4063090 0.0774670
0.3756550 0.0775270
0.3454920 0.0769970
0.3159380 0.0759890
0.2871100 0.0744860
0.2591230 0.0725180
0.2320870 0.0701270
0.2061070 0.0673560
0.1812880 0.0642360
0.1577260 0.0607950
0.1355160 0.0570540
0.1147430 0.0530390
0.0954920 0.0487820
0.0778360 0.0443160
0.0618470 0.0396830
0.0475860 0.0349210
0.0351120 0.0300660
0.0244720 0.0251450
0.0157080 0.0201780
0.0088560 0.0151760
0.0039430 0.0101450
0.0009870 0.0050860
0.0000000 0.0000000
0.0009870 -.0043830
0.0039430 -.0086980
0.0088560 -.0128110
0.0157080 -.0165900
0.0244720 -.0199650
0.0351120 -.0229270
0.0475860 -.0254680
0.0618470 -.0275250
0.0778360 -.0290180
0.0954920 -.0299670
0.1147430 -.0304010
0.1355160 -.0302550
0.1577260 -.0294740
0.1812880 -.0282800
0.2061070 -.0266640
0.2320870 -.0246400
0.2591230 -.0222400
0.2871100 -.0195180
0.3159380 -.0165440
0.3454920 -.0133980
0.3756550 -.0101710
0.4063090 -.0069540
0.4373330 -.0038330
0.4686050 -.0008870
0.5000000 0.0018180
0.5313950 0.0042310
0.5626670 0.0063190
0.5936910 0.0080620
0.6243450 0.0094570
0.6545080 0.0105110
0.6840620 0.0112400
0.7128900 0.0116620
0.7408770 0.0118000
0.7679130 0.0116740
0.7938930 0.0113030
0.8187120 0.0107040
0.8422740 0.0098930
0.8644840 0.0088860
0.8852570 0.0077020
0.9045080 0.0063680
0.9221640 0.0049160
0.9381530 0.0033850
0.9524140 0.0018270
0.9648880 0.0002970
0.9755280 -.0011420
0.9842920 -.0024290
0.9911440 -.0035020
0.9960570 -.0043110
0.9990130 -.0048140
1.0000000 -.0049840
