FX 74-Cl5-140 MOD  (smoothed)
       1.00000     0.00009
       0.99754     0.00189
       0.99070     0.00624
       0.98037     0.01150
       0.96698     0.01741
       0.95044     0.02402
       0.93064     0.03188
       0.90775     0.04001
       0.88202     0.04848
       0.85370     0.05718
       0.82309     0.06616
       0.79048     0.07549
       0.75616     0.08510
       0.72043     0.09482
       0.68359     0.10446
       0.64594     0.11385
       0.60778     0.12287
       0.56937     0.13137
       0.53099     0.13916
       0.49265     0.14604
       0.45435     0.15177
       0.41638     0.15606
       0.37887     0.15868
       0.34204     0.15944
       0.30609     0.15820
       0.27120     0.15493
       0.23760     0.14964
       0.20549     0.14243
       0.17504     0.13344
       0.14648     0.12292
       0.11999     0.11110
       0.09576     0.09826
       0.07395     0.08459
       0.05468     0.07030
       0.03811     0.05576
       0.02433     0.04145
       0.01338     0.02769
       0.00548     0.01518
       0.00098     0.00518
       0.00000    -0.00021
       0.00098    -0.00435
       0.00548    -0.00787
       0.01338    -0.00871
       0.02433    -0.00754
       0.03811    -0.00539
       0.05468    -0.00292
       0.07395    -0.00022
       0.09576     0.00270
       0.11999     0.00584
       0.14648     0.00921
       0.17504     0.01279
       0.20549     0.01651
       0.23760     0.02030
       0.27120     0.02410
       0.30609     0.02786
       0.34204     0.03152
       0.37887     0.03503
       0.41638     0.03832
       0.45435     0.04134
       0.49265     0.04400
       0.53099     0.04624
       0.56937     0.04801
       0.60778     0.04925
       0.64594     0.04992
       0.68359     0.04997
       0.72043     0.04936
       0.75616     0.04807
       0.79048     0.04608
       0.82309     0.04334
       0.85370     0.03978
       0.88202     0.03537
       0.90775     0.03013
       0.93064     0.02434
       0.95044     0.01851
       0.96698     0.01290
       0.98037     0.00756
       0.99070     0.00319
       0.99754     0.00068
       1.00000    -0.00003
