 E168  (12.45%)               
   1.00000  0.00000
   0.99649  0.00021
   0.98631  0.00108
   0.97018  0.00271
   0.94855  0.00476
   0.92146  0.00706
   0.88914  0.00979
   0.85210  0.01306
   0.81090  0.01691
   0.76616  0.02130
   0.71854  0.02615
   0.66871  0.03135
   0.61736  0.03673
   0.56516  0.04211
   0.51275  0.04728
   0.46075  0.05200
   0.40972  0.05606
   0.36019  0.05924
   0.31262  0.06134
   0.26739  0.06221
   0.22485  0.06177
   0.18536  0.05995
   0.14915  0.05672
   0.11641  0.05211
   0.08730  0.04627
   0.06198  0.03944
   0.04069  0.03187
   0.02363  0.02380
   0.01095  0.01550
   0.00287  0.00733
   0.00000  0.00000
   0.00287 -0.00733
   0.01095 -0.01550
   0.02363 -0.02380
   0.04069 -0.03187
   0.06198 -0.03944
   0.08730 -0.04627
   0.11641 -0.05211
   0.14915 -0.05672
   0.18536 -0.05995
   0.22485 -0.06177
   0.26739 -0.06221
   0.31262 -0.06134
   0.36019 -0.05924
   0.40972 -0.05606
   0.46075 -0.05200
   0.51275 -0.04728
   0.56516 -0.04211
   0.61736 -0.03673
   0.66871 -0.03135
   0.71854 -0.02615
   0.76616 -0.02130
   0.81090 -0.01691
   0.85210 -0.01306
   0.88914 -0.00979
   0.92146 -0.00706
   0.94855 -0.00476
   0.97018 -0.00271
   0.98631 -0.00108
   0.99649 -0.00021
   1.00000  0.00000
