DAE-31 AIRFOIL
1.0000000 0.0000000
0.9836681 0.0036705
0.9648269 0.0082008
0.9422911 0.0139124
0.9151255 0.0211589
0.8847364 0.0297089
0.8543990 0.0386040
0.8239395 0.0477859
0.7933150 0.0570929
0.7633666 0.0660061
0.7340045 0.0743106
0.7049618 0.0818952
0.6760014 0.0887678
0.6470113 0.0949415
0.6179285 0.1004011
0.5887031 0.1051596
0.5593120 0.1092310
0.5297562 0.1126354
0.5000657 0.1153907
0.4702895 0.1175029
0.4404975 0.1189772
0.4107560 0.1197894
0.3810937 0.1199127
0.3515427 0.1193380
0.3221600 0.1180434
0.2929977 0.1159949
0.2641038 0.1131615
0.2355553 0.1095233
0.2074701 0.1050483
0.1799774 0.0996865
0.1532431 0.0934191
0.1275122 0.0862261
0.1030908 0.0780938
0.0803468 0.0690522
0.0597202 0.0592106
0.0416829 0.0487251
0.0266957 0.0379531
0.0151525 0.0274887
0.0072528 0.0181120
0.0025714 0.0102478
0.0003482 0.0040557
0.0000000 0.0000000
0.0001807 -.0032476
0.0011704 -.0071260
0.0029628 -.0100572
0.0056908 -.0123330
0.0099867 -.0140530
0.0172463 -.0152927
0.0297287 -.0159839
0.0490207 -.0156330
0.0742842 -.0141843
0.1029554 -.0119380
0.1333124 -.0092209
0.1645073 -.0062945
0.1961702 -.0032978
0.2281120 -.0003260
0.2601610 0.0025598
0.2921169 0.0053196
0.3239840 0.0079314
0.3557761 0.0103711
0.3874933 0.0126278
0.4191336 0.0146695
0.4507050 0.0164751
0.4822036 0.0180277
0.5136282 0.0192952
0.5450060 0.0202477
0.5763610 0.0208932
0.6076820 0.0212357
0.6389643 0.0212622
0.6702207 0.0209726
0.7014622 0.0203751
0.7326788 0.0194885
0.7638477 0.0183119
0.7949666 0.0168263
0.8260636 0.0150337
0.8572249 0.0129321
0.8888093 0.0105107
0.9192797 0.0079207
0.9456010 0.0055029
0.9670691 0.0034138
0.9848812 0.0015830
1.0000000 0.0000000
