E475  (15.01%)               
   1.00000  0.00000
   0.99608  0.00033
   0.98478  0.00168
   0.96708  0.00447
   0.94380  0.00854
   0.91560  0.01369
   0.88326  0.01958
   0.84723  0.02542
   0.80734  0.03083
   0.76375  0.03605
   0.71704  0.04120
   0.66781  0.04624
   0.61667  0.05115
   0.56426  0.05586
   0.51124  0.06027
   0.45826  0.06432
   0.40598  0.06789
   0.35504  0.07088
   0.30609  0.07317
   0.25973  0.07460
   0.21656  0.07500
   0.17717  0.07407
   0.14181  0.07131
   0.11033  0.06654
   0.08267  0.05991
   0.05881  0.05165
   0.03879  0.04211
   0.02270  0.03167
   0.01065  0.02076
   0.00283  0.00992
   0.00000  0.00000
   0.00283 -0.00992
   0.01065 -0.02076
   0.02270 -0.03167
   0.03879 -0.04211
   0.05881 -0.05165
   0.08267 -0.05991
   0.11033 -0.06654
   0.14181 -0.07131
   0.17717 -0.07407
   0.21656 -0.07500
   0.25973 -0.07460
   0.30609 -0.07317
   0.35504 -0.07088
   0.40598 -0.06789
   0.45826 -0.06432
   0.51124 -0.06027
   0.56426 -0.05586
   0.61667 -0.05115
   0.66781 -0.04624
   0.71704 -0.04120
   0.76375 -0.03605
   0.80734 -0.03083
   0.84723 -0.02542
   0.88326 -0.01958
   0.91560 -0.01369
   0.94380 -0.00854
   0.96708 -0.00447
   0.98478 -0.00168
   0.99608 -0.00033
   1.00000  0.00000
