AS5046 (16%)
1.0000 .00134  
.99804 .00200      
.99260 .00372    
.98401 .00594  
.97220 .00866  
.95749 .01168        
.93979 .01474   
.91895 .01797   
.89512 .02146 
.86847 .02532   
.83924 .02960   
.80767 .03441   
.77409 .03982   
.73889 .04596  
.70270 .05277   
.66609 .06004   
.62962 .06733 
.59358 .07375 
.55759 .07896 
.52139 .08307  
.48502 .08610 
.44860 .08824 
.41235 .08957 
.37649 .09013 
.34123 .08996 
.30680 .08908 
.27342 .08752 
.24130 .08527 
.21060 .08233 
.18148 .07874 
.15411 .07456 
.12868 .06983 
.10538 .06454  
.08429 .05863 
.06537 .05215
.04876 .04527 
.03450 .03803 
.02260 .03058
.01322 .02302 
.00632 .01544 
.00193 .00801 
.00003 .00097 
.00071 -.00489
.00510 -.00988 
.01342 -.01505 
.02489 -.02044 
.03925 -.02596 
.05625 -.03155 
.07571 -.03710 
.09745 -.04246 
.12133 -.04752 
.14723 -.05216
.17505 -.05634 
.20462 -.06003
.23577 -.06321
.26829 -.06582 
.30198 -.06783 
.33664 -.06919
.37208 -.06986
.40806 -.06980
.44435 -.06899 
.48068 -.06725 
.51700 -.06445 
.55315 -.06046 
.58935 -.05509
.62582 -.04860 
.66265 -.04132 
.70010 -.03396 
.73735 -.02722 
.77354 -.02135 
.80827 -.01632 
.84111 -.01210
.87165 -.00870 
.89952 -.00605 
.92439 -.00407
.94591 -.00256 
.96421 -.00129 
.97931 -.00050 
.99065 -.00052 
.99763 -.00101 
1.0000 -.00134
http://amber.aae.uiuc.edu/~ashok/kr2/airfoils/tests/
