  NACA 64(1)-212
1.0000000 0.0000000
0.9501300 0.0060400
0.9002700 0.0130300
0.8503800 0.0205400
0.8004500 0.0282500
0.7504700 0.0359000
0.7004500 0.0432200
0.6503900 0.0500400
0.6002900 0.0561900
0.5501600 0.0615100
0.5000000 0.0658300
0.4498200 0.0689300
0.3996100 0.0705200
0.3494100 0.0700800
0.2992100 0.0681500
0.2490300 0.0647000
0.1988600 0.0596800
0.1487200 0.0529100
0.0986500 0.0438600
0.0736400 0.0381500
0.0486800 0.0312300
0.0238200 0.0221800
0.0114700 0.0159300
0.0065900 0.0124500
0.0041800 0.0102500
0.0000000 0.0000000
0.0058200 -.0092500
0.0084100 -.0110500
0.0135300 -.0137900
0.0261800 -.0184600
0.0513200 -.0249100
0.0763600 -.0296700
0.1013500 -.0335200
0.1512800 -.0394500
0.2011400 -.0437600
0.2509700 -.0468000
0.3007900 -.0487100
0.3505900 -.0494800
0.4003900 -.0491000
0.4501800 -.0470300
0.5000000 -.0437700
0.5498400 -.0396100
0.5997100 -.0347700
0.6496100 -.0294400
0.6995500 -.0237800
0.7495300 -.0180000
0.7995500 -.0123300
0.8496200 -.0070800
0.8997300 -.0026900
0.9498700 0.0002800
1.0000000 0.0000000
