E184  (8.33%)                
   1.00000  0.00000
   0.99676 -0.00015
   0.98705 -0.00052
   0.97084 -0.00086
   0.94823 -0.00075
   0.91969  0.00027
   0.88597  0.00242
   0.84781  0.00563
   0.80587  0.00981
   0.76081  0.01484
   0.71338  0.02055
   0.66428  0.02672
   0.61425  0.03306
   0.56400  0.03908
   0.51388  0.04433
   0.46424  0.04857
   0.41539  0.05158
   0.36763  0.05328
   0.32120  0.05362
   0.27634  0.05279
   0.23354  0.05101
   0.19328  0.04834
   0.15598  0.04490
   0.12204  0.04072
   0.09178  0.03591
   0.06552  0.03054
   0.04346  0.02472
   0.02580  0.01858
   0.01262  0.01229
   0.00397  0.00620
   0.00010  0.00091
   0.00189 -0.00382
   0.00938 -0.00854
   0.02188 -0.01302
   0.03935 -0.01707
   0.06166 -0.02058
   0.08869 -0.02350
   0.12020 -0.02584
   0.15590 -0.02760
   0.19544 -0.02882
   0.23841 -0.02952
   0.28437 -0.02976
   0.33280 -0.02958
   0.38317 -0.02902
   0.43492 -0.02814
   0.48747 -0.02698
   0.54020 -0.02557
   0.59253 -0.02396
   0.64387 -0.02217
   0.69362 -0.02025
   0.74122 -0.01823
   0.78612 -0.01613
   0.82782 -0.01400
   0.86584 -0.01185
   0.89973 -0.00972
   0.92911 -0.00763
   0.95362 -0.00555
   0.97313 -0.00343
   0.98765 -0.00154
   0.99683 -0.00036
   1.00000  0.00000
