E71  (5.15%)                 
   1.00000  0.00000
   0.99709  0.00089
   0.98872  0.00358
   0.97560  0.00786
   0.95825  0.01312
   0.93676  0.01872
   0.91100  0.02438
   0.88110  0.03013
   0.84742  0.03592
   0.81035  0.04160
   0.77029  0.04706
   0.72768  0.05213
   0.68292  0.05667
   0.63645  0.06056
   0.58870  0.06370
   0.54011  0.06603
   0.49112  0.06750
   0.44221  0.06812
   0.39386  0.06790
   0.34657  0.06684
   0.30081  0.06494
   0.25704  0.06224
   0.21568  0.05876
   0.17712  0.05455
   0.14174  0.04968
   0.10985  0.04419
   0.08172  0.03819
   0.05757  0.03178
   0.03755  0.02511
   0.02177  0.01834
   0.01029  0.01171
   0.00309  0.00552
   0.00002  0.00037
   0.00215 -0.00294
   0.01011 -0.00495
   0.02341 -0.00605
   0.04208 -0.00604
   0.06606 -0.00501
   0.09525 -0.00303
   0.12945 -0.00027
   0.16836  0.00309
   0.21161  0.00683
   0.25871  0.01074
   0.30912  0.01463
   0.36222  0.01831
   0.41736  0.02160
   0.47382  0.02438
   0.53087  0.02651
   0.58776  0.02790
   0.64373  0.02848
   0.69800  0.02823
   0.74983  0.02714
   0.79850  0.02526
   0.84330  0.02264
   0.88360  0.01940
   0.91880  0.01564
   0.94833  0.01149
   0.97147  0.00713
   0.98763  0.00329
   0.99697  0.00082
   1.00000  0.00000
