MID 110  (c)Slobodan Midic F1A models Re~40k Tri
     1.000000    0.004466
     0.994701    0.006186
     0.984173    0.009520
     0.971428    0.013402
     0.958151    0.017262
     0.944378    0.021078
     0.930359    0.024779
     0.916307    0.028311
     0.902218    0.031671
     0.888064    0.034865
     0.873819    0.037906
     0.859467    0.040810
     0.845026    0.043589
     0.830521    0.046247
     0.815944    0.048793
     0.801278    0.051243
     0.786522    0.053613
     0.771718    0.055909
     0.756890    0.058129
     0.742021    0.060281
     0.727124    0.062369
     0.712221    0.064389
     0.697288    0.066347
     0.682315    0.068250
     0.667327    0.070101
     0.652341    0.071896
     0.637349    0.073634
     0.622333    0.075320
     0.607314    0.076955
     0.592323    0.078530
     0.577321    0.080044
     0.562295    0.081503
     0.547299    0.082903
     0.532316    0.084233
     0.517311    0.085501
     0.502328    0.086702
     0.487376    0.087826
     0.472404    0.088875
     0.457436    0.089851
     0.442507    0.090745
     0.427579    0.091551
     0.412650    0.092273
     0.397758    0.092903
     0.382914    0.093432
     0.368112    0.093849
     0.353345    0.094146
     0.338632    0.094316
     0.323976    0.094345
     0.309332    0.094226
     0.294695    0.093962
     0.280104    0.093547
     0.265545    0.092973
     0.251011    0.092239
     0.236566    0.091341
     0.222260    0.090261
     0.208097    0.088977
     0.194066    0.087466
     0.180157    0.085712
     0.166372    0.083701
     0.152728    0.081423
     0.139275    0.078869
     0.126098    0.076033
     0.113249    0.072889
     0.100752    0.069408
     0.088641    0.065570
     0.076919    0.061351
     0.065609    0.056740
     0.054958    0.051827
     0.045122    0.046638
     0.036022    0.041121
     0.027944    0.035528
     0.021216    0.030102
     0.015748    0.024898
     0.011383    0.020076
     0.008001    0.015891
     0.005479    0.012461
     0.003642    0.009586
     0.002265    0.007110
     0.001217    0.004951
     0.000497    0.003028
     0.000096    0.001284
    -0.000003   -0.000364
     0.000245   -0.001968
     0.000922   -0.003488
     0.002098   -0.004747
     0.003778   -0.005653
     0.005846   -0.006257
     0.008318   -0.006596
     0.011342   -0.006720
     0.015182   -0.006671
     0.020214   -0.006426
     0.027038   -0.005858
     0.036308   -0.004842
     0.047612   -0.003313
     0.060125   -0.001252
     0.073700    0.001283
     0.087845    0.004132
     0.102303    0.007187
     0.117005    0.010367
     0.131590    0.013507
     0.145910    0.016475
     0.160111    0.019245
     0.174349    0.021829
     0.188708    0.024256
     0.203191    0.026548
     0.217769    0.028718
     0.232407    0.030774
     0.247080    0.032717
     0.261775    0.034547
     0.276493    0.036266
     0.291238    0.037876
     0.305995    0.039378
     0.320742    0.040768
     0.335499    0.042043
     0.350293    0.043209
     0.365067    0.044265
     0.379813    0.045200
     0.394616    0.046018
     0.409442    0.046733
     0.424229    0.047333
     0.439058    0.047817
     0.453960    0.048205
     0.468864    0.048499
     0.483773    0.048697
     0.498721    0.048807
     0.513695    0.048834
     0.528615    0.048778
     0.543452    0.048622
     0.558346    0.048354
     0.573341    0.048002
     0.588282    0.047575
     0.603174    0.047054
     0.618111    0.046441
     0.633064    0.045745
     0.647976    0.044965
     0.662844    0.044095
     0.677728    0.043126
     0.692631    0.042067
     0.707455    0.040922
     0.722237    0.039669
     0.737067    0.038307
     0.751860    0.036854
     0.766580    0.035295
     0.781325    0.033618
     0.796062    0.031838
     0.810722    0.029952
     0.825370    0.027943
     0.840043    0.025816
     0.854707    0.023578
     0.869366    0.021231
     0.884039    0.018777
     0.898726    0.016222
     0.913380    0.013578
     0.927982    0.010845
     0.942575    0.008009
     0.956925    0.005119
     0.970689    0.002228
     0.983809   -0.000668
     0.994583   -0.003166
     1.000000   -0.004466
