  SD7062 (14%)
  1.00000  0.0
  0.99652  0.00057
  0.98634  0.00242
  0.97004  0.00571
  0.94818  0.01036
  0.92127  0.01615
  0.88967  0.02289
  0.85381  0.03049
  0.81427  0.03885
  0.77166  0.04778
  0.72662  0.05702
  0.67973  0.06626
  0.63154  0.07517
  0.58254  0.08347
  0.53322  0.09089
  0.48402  0.09723
  0.43540  0.10229
  0.38779  0.10592
  0.34159  0.10801
  0.29720  0.10846
  0.25496  0.10722
  0.21521  0.10428
  0.17825  0.09965
  0.14432  0.09340
  0.11363  0.08562
  0.08637  0.07647
  0.06269  0.06616
  0.04272  0.05491
  0.02650  0.04300
  0.01410  0.03081
  0.00562  0.01871
  0.00103  0.00711
  0.00027 -0.00327
  0.00425 -0.01115
  0.01414 -0.01701
  0.02991 -0.02205
  0.05099 -0.02623
  0.07710 -0.02948
  0.10798 -0.03179
  0.14328 -0.03319
  0.18265 -0.03367
  0.22570 -0.03327
  0.27199 -0.03206
  0.32105 -0.03010
  0.37238 -0.02747
  0.42547 -0.02426
  0.47979 -0.02064
  0.53477 -0.01680
  0.58975 -0.01295
  0.64403 -0.00927
  0.69692 -0.00593
  0.74768 -0.00307
  0.79557 -0.00079
  0.83990  0.00087
  0.87998  0.00189
  0.91518  0.00230
  0.94491  0.00216
  0.96864  0.00163
  0.98593  0.00092
  0.99646  0.00027
  1.00000  0.00000
