HN-989	F3B   Norbert Habbe
1.000000	0.000000
0.999013	0.000129
0.996057	0.000554
0.991144	0.001300
0.984292	0.002397
0.975528	0.003823
0.964888	0.005519
0.952414	0.007445
0.938153	0.009548
0.922164	0.011833
0.904508	0.014301
0.885257	0.016933
0.864484	0.019703
0.842274	0.022577
0.818712	0.025527
0.793893	0.028520
0.767913	0.031518
0.740877	0.034487
0.712890	0.037400
0.684062	0.040216
0.654508	0.042914
0.624345	0.045463
0.593691	0.047831
0.562667	0.050005
0.531395	0.051954
0.500000	0.053651
0.468605	0.055074
0.437333	0.056199
0.406309	0.057006
0.375655	0.057485
0.345492	0.057624
0.315938	0.057399
0.287110	0.056815
0.259123	0.055860
0.232087	0.054537
0.206107	0.052859
0.181288	0.050813
0.157726	0.048418
0.135516	0.045690
0.114743	0.042641
0.095492	0.039294
0.077836	0.035680
0.061847	0.031828
0.047586	0.027777
0.035112	0.023564
0.024472	0.019241
0.015708	0.014897
0.008856	0.010630
0.003942	0.006500
0.001051	0.002907
0.000000	0.000000
0.000987	-0.002522
0.003943	-0.005023
0.008856	-0.007570
0.015708	-0.010015
0.024472	-0.012382
0.035112	-0.014604
0.047586	-0.016617
0.061847	-0.018406
0.077836	-0.019965
0.095492	-0.021287
0.114743	-0.022366
0.135516	-0.023201
0.157726	-0.023806
0.181288	-0.024179
0.206107	-0.024335
0.232087	-0.024287
0.259123	-0.024038
0.287110	-0.023616
0.315938	-0.023030
0.345492	-0.022284
0.375655	-0.021409
0.406309	-0.020409
0.437333	-0.019305
0.468605	-0.018110
0.500000	-0.016834
0.531395	-0.015489
0.562667	-0.014077
0.593691	-0.012607
0.624345	-0.011101
0.654508	-0.009595
0.684062	-0.008127
0.712890	-0.006717
0.740877	-0.005387
0.767913	-0.004151
0.793893	-0.003028
0.818712	-0.002031
0.842274	-0.001168
0.864484	-0.000441
0.885257	0.000143
0.904508	0.000583
0.922164	0.000879
0.938153	0.001041
0.952414	0.001077
0.964888	0.001008
0.975528	0.000856
0.984292	0.000647
0.991144	0.000418
0.996057	0.000207
0.999013	0.000057
1.000000	0.000000
