BE6568  6.5% t/c 7.5% camber Suitable for F1A towline glider category
1.0000000  0.0036
0.9932009  0.00546568
0.9811256  0.00883735
0.9671395  0.01287399
0.9518806  0.01697857
0.9356368  0.02107966
0.9189701  0.02525298
0.9020584  0.02927722
0.8852117  0.0331647
0.868315  0.03691023
0.8513713  0.04051734
0.8343867  0.04398603
0.817434  0.04729619
0.8005073  0.050417
0.7834926  0.05336883
0.766336  0.056185
0.7490964  0.05888543
0.7318587  0.06145702
0.7146281  0.06388612
0.6972965  0.06618601
0.6797999  0.06840548
0.6622073  0.07056591
0.6446737  0.0726555
0.6272001  0.0746407
0.6096355  0.07653889
0.5920159  0.07837942
0.5744813  0.08013266
0.5570307  0.08177317
0.5395661  0.08329653
0.5220035  0.08472179
0.5044219  0.08606839
0.4869203  0.08731248
0.4694537  0.08843676
0.4519941  0.08944223
0.4345785  0.09031911
0.4172268  0.09105348
0.3999312  0.09162734
0.3826836  0.09203073
0.3654529  0.09225471
0.3482223  0.0923005
0.3310596  0.09216533
0.313995  0.09182524
0.2969233  0.09126626
0.2798827  0.09050481
0.263006  0.08952215
0.2461943  0.08827938
0.2294106  0.08679094
0.2128188  0.08504927
0.1964291  0.08301147
0.1801233  0.08064405
0.1638525  0.07795097
0.1478037  0.07496593
0.1320279  0.07164564
0.116518  0.06797613
0.1014871  0.06396511
0.0868861  0.05954215
0.072967  0.05478464
0.0599448  0.04967094
0.0479524  0.04428021
0.0374279  0.03881553
0.0285101  0.03345118
0.0213151  0.02848002
0.0157068  0.02404035
0.0113794  0.02015327
0.0080589  0.01674913
0.0055262  0.01373425
0.0035805  0.01102432
0.0020717  0.00853823
0.0009739  0.00622378
0.000289  0.00409134
0.000000  0.00212399
0.000109  0.00021627
0.0006419  -0.00168632
0.0016538  -0.00360717
0.0031736  -0.00531215
0.0052143  -0.00674321
0.0078509  -0.00784512
0.0111615  -0.00873531
0.0152339  -0.00940711
0.0202592  -0.00977216
0.0265774  -0.00969459
0.0346453  -0.00902248
0.0448619  -0.00769471
0.0572302  -0.00577039
0.0713672  -0.00330142
0.0870401  -0.00043382
0.1033618  0.00243376
0.1199966  0.00536694
0.1369262  0.00838183
0.1540679  0.01142083
0.1713445  0.01442704
0.1887061  0.01739864
0.2062557  0.02031433
0.2238603  0.02305388
0.2413239  0.02561869
0.2587146  0.02814388
0.2763081  0.03066115
0.2940397  0.03298743
0.3117343  0.03508563
0.3294459  0.03698077
0.3471594  0.03863482
0.364869  0.04012417
0.3826616  0.04148745
0.4004691  0.04267934
0.4182087  0.04373762
0.4359563  0.04472183
0.4536848  0.04560279
0.4712654  0.04633042
0.488654  0.04689747
0.5059197  0.04729904
0.5231883  0.04754227
0.5405229  0.04763608
0.5579545  0.04760107
0.5755311  0.0474665
0.5931857  0.04726463
0.6107383  0.04699528
0.6280959  0.04664834
0.6452726  0.04620007
0.6623342  0.04561964
0.6793259  0.04488761
0.6962766  0.04398951
0.7132243  0.04291746
0.730155  0.04166971
0.7470346  0.04024009
0.7639503  0.0386166
0.780926  0.03681446
0.7979157  0.0348347
0.8150153  0.0326815
0.832194  0.03038931
0.8493086  0.02797012
0.8663523  0.02540499
0.883389  0.02268277
0.9002776  0.01982389
0.9168024  0.01679151
0.9331611  0.01347721
0.9492679  0.00988122
0.9650728  0.00600493
0.9799897  0.00200552
0.992927  -0.00158439
1.000000  -0.0036


BE6568  6.5% t/c 7.5% camber
Suitable for F1A towline glider category

CLmax 1.72 @ RE 100,000, 1.50 @ 35,000 with u/s xtr 0.10, N = 9
