HN-315S Aile volante  Norbert Habbe
1.00000	0.00000		
0.99646	0.00021		
0.98625	0.00104		
0.97017	0.00261		
0.94885	0.00468		
0.92247	0.00693		
0.89118	0.00940		
0.85538	0.01212		
0.81560	0.01509		
0.77237	0.01826		
0.72627	0.02153		
0.67789	0.02480		
0.62777	0.02796		
0.57647	0.03092		
0.52456	0.03359		
0.47261	0.03588
0.42116	0.03773
0.35788	0.03906
0.30237	0.03982
0.25250	0.03996
0.20796	0.03941
0.16841	0.03816
0.13352	0.03618
0.10303	0.03348
0.07630	0.03008
0.05373	0.02600
0.03499	0.02133
0.02016	0.01614
0.00926	0.01064
0.00240	0.00510
0.00000	0.00000
0.00240	-0.00510
0.00926	-0.01064
0.02016	-0.01614
0.03499	-0.02133
0.05373	-0.02600
0.07630	-0.03008
0.10303	-0.03348
0.13352	-0.03618
0.16841	-0.03816
0.20796	-0.03941
0.25250	-0.03996
0.30237	-0.03982
0.35788	-0.03906
0.42116	-0.03773
0.47261	-0.03588
0.52456	-0.03359
0.57647	-0.03092
0.62777	-0.02796
0.67789	-0.02480
0.72627	-0.02153
0.77237	-0.01826
0.81560	-0.01509
0.85538	-0.01212
0.89118	-0.00940
0.92247	-0.00693
0.94885	-0.00468
0.97017	-0.00261
0.98625	-0.00104
0.99646	-0.00021
1.00000	0.00000
Profilbeiwerte
Profildicke(d): 8,00 %
Dickenrcklage(xd): 26,21 %
Profilwlbung(f): 0,00 %
Wlbungsrcklage(xf): 0,00 %
Momentenbeiwert(cm0): 0,0000
Nullauftrieb(a0): 0,0000 
Stofreier Eintritt: 0,0000 
Ca bei stofreiem Eintritt: 0,0000
Auftriebsanstieg: 6,7041
Neutralpunktlage: 25,48 %
Profiltyp: Tropfen
