NASA  NLF1015
  1.00000  0.00000  
  0.99657  0.00146  
  0.98712  0.00583  
  0.97298  0.01248  
  0.95446  0.02023  
  0.93125  0.02865  
  0.90350  0.03788  
  0.87177  0.04788  
  0.83659  0.05840  
  0.79853  0.06915  
  0.75812  0.07981  
  0.71589  0.09000  
  0.67236  0.09933  
  0.62799  0.10732  
  0.58299  0.11337  
  0.53726  0.11727  
  0.49085  0.11922  
  0.44416  0.11947  
  0.39771  0.11815  
  0.35196  0.11535  
  0.30741  0.11115  
  0.26449  0.10564  
  0.22364  0.09892  
  0.18527  0.09110  
  0.14974  0.08232  
  0.11740  0.07273  
  0.08855  0.06249  
  0.06343  0.05179  
  0.04226  0.04085  
  0.02521  0.02995  
  0.01241  0.01938  
  0.00398  0.00957  
  0.00008  0.00117  
  0.00208 -0.00535  
  0.01053 -0.01088  
  0.02456 -0.01608  
  0.04389 -0.02071  
  0.06828 -0.02466  
  0.09749 -0.02791  
  0.13119 -0.03046  
  0.16903 -0.03230  
  0.21056 -0.03346  
  0.25529 -0.03397  
  0.30270 -0.03384  
  0.35221 -0.03306  
  0.40319 -0.03160  
  0.45501 -0.02941  
  0.50699 -0.02620  
  0.55895 -0.02150  
  0.61119 -0.01549  
  0.66352 -0.00895  
  0.71529 -0.00256  
  0.76576  0.00311  
  0.81405  0.00755  
  0.85913  0.01035  
  0.89987  0.01127  
  0.93510  0.01032  
  0.96363  0.00772  
  0.98422  0.00416  
  0.99617  0.00114  
  1.00000  0.00000  
