HN-1004	HLG  Norbert Habbe
1.00000	0.00000
0.99901	0.00017
0.99606	0.00072
0.99114	0.00170
0.98429	0.00309
0.97553	0.00486
0.96489	0.00693
0.95241	0.00922
0.93815	0.01166
0.92216	0.01426
0.90451	0.01701
0.88526	0.01990
0.86448	0.02289
0.84227	0.02596
0.81871	0.02906
0.79389	0.03216
0.76791	0.03523
0.74088	0.03825
0.71289	0.04117
0.68406	0.04399
0.65451	0.04666
0.62435	0.04919
0.59369	0.05153
0.56267	0.05369
0.53140	0.05563
0.50000	0.05733
0.46861	0.05874
0.43733	0.05986
0.40631	0.06065
0.37566	0.06110
0.34549	0.06120
0.31594	0.06091
0.28711	0.06026
0.25912	0.05921
0.23209	0.05777
0.20611	0.05595
0.18129	0.05374
0.15773	0.05116
0.13552	0.04824
0.11474	0.04497
0.09549	0.04138
0.07784	0.03752
0.06185	0.03342
0.04759	0.02912
0.03511	0.02465
0.02447	0.02008
0.01571	0.01552
0.00886	0.01109
0.00395	0.00684
0.00097	0.00313
0.00000	0.00000
0.00099	-0.00235
0.00394	-0.00463
0.00886	-0.00684
0.01571	-0.00883
0.02447	-0.01066
0.03511	-0.01230
0.04759	-0.01368
0.06185	-0.01486
0.07784	-0.01580
0.09549	-0.01653
0.11474	-0.01706
0.13552	-0.01739
0.15773	-0.01755
0.18129	-0.01754
0.20611	-0.01738
0.23209	-0.01710
0.25912	-0.01669
0.28711	-0.01617
0.31594	-0.01556
0.34549	-0.01486
0.37566	-0.01409
0.40631	-0.01324
0.43733	-0.01234
0.46861	-0.01138
0.50000	-0.01035
0.53140	-0.00925
0.56267	-0.00804
0.59369	-0.00671
0.62435	-0.00528
0.65451	-0.00385
0.68406	-0.00246
0.71289	-0.00116
0.74088	0.00001
0.76791	0.00105
0.79389	0.00192
0.81871	0.00262
0.84227	0.00315
0.86448	0.00350
0.88526	0.00368
0.90451	0.00370
0.92216	0.00357
0.93815	0.00330
0.95241	0.00291
0.96489	0.00243
0.97553	0.00188
0.98429	0.00133
0.99114	0.00081
0.99606	0.00038
0.99901	0.00010
1.00000	0.00000
