profil aile volante extrmit A-Z 2002   Visuaro/TraCFoil
1.000000  0.017700
0.988600  0.017800
0.947100  0.018500
0.914500  0.019200
0.871400  0.020800
0.820200  0.022300
0.766300  0.023300
0.714200  0.026100
0.665500  0.030000
0.615900  0.036100
0.565700  0.041900
0.515300  0.047100
0.465200  0.051600
0.415600  0.055300
0.367200  0.058200
0.320400  0.060200
0.275600  0.061100
0.233200  0.060900
0.193500  0.059500
0.156900  0.056800
0.123600  0.052800
0.094000  0.047700
0.068100  0.041600
0.046300  0.034600
0.028700  0.027000
0.015200  0.018900
0.005900  0.010800
0.000800  0.003200
0.000000  0.000000
0.000700  -0.002700
0.006400  -0.007300
0.017800  -0.012300
0.034200  -0.016900
0.055300  -0.021200
0.080900  -0.024700
0.110700  -0.027200
0.144600  -0.028700
0.182500  -0.029300
0.224100  -0.029200
0.268900  -0.028500
0.316500  -0.027400
0.366500  -0.025900
0.418200  -0.024100
0.471000  -0.022100
0.524500  -0.020100
0.577900  -0.018100
0.630500  -0.016000
0.681700  -0.014000
0.731000  -0.012100
0.777500  -0.010300
0.820900  -0.008500
0.860600  -0.007000
0.896100  -0.005500
0.926900  -0.004200
0.952600  -0.003100
0.972900  -0.002000
0.987700  -0.001000
0.996800  -0.000300
1.000000  0.000000
Modification effectue le 01/05/02
http://alain.zutter.free.fr/AZ/
http://rcsoaringmag.free.fr/images/az/AZ.htm
AZ, une aile volante pour voler "frontside" et "backside" !

(conception du modle et auteur: Alain Zutter)
