HN 1032	F3J/Allround  Norbert Habbe
1.00000	0.00000
0.99901	0.00015
0.99606	0.00065
0.99114	0.00152
0.98429	0.00280
0.97553	0.00443
0.96489	0.00634
0.95241	0.00848
0.93815	0.01078
0.92216	0.01325
0.90451	0.01589
0.88526	0.01869
0.86448	0.02161
0.84227	0.02462
0.81871	0.02769
0.79389	0.03077
0.76791	0.03384
0.74088	0.03688
0.71289	0.03982
0.68406	0.04267
0.65451	0.04537
0.62435	0.04791
0.59369	0.05025
0.56267	0.05238
0.53140	0.05428
0.50000	0.05591
0.46861	0.05725
0.43733	0.05828
0.40631	0.05900
0.37566	0.05937
0.34549	0.05941
0.31594	0.05909
0.28711	0.05842
0.25912	0.05737
0.23209	0.05596
0.20611	0.05420
0.18129	0.05208
0.15773	0.04961
0.13552	0.04682
0.11474	0.04370
0.09549	0.04029
0.07784	0.03661
0.06185	0.03268
0.04759	0.02856
0.03511	0.02426
0.02447	0.01984
0.01571	0.01541
0.00886	0.01105
0.00394	0.00683
0.00099	0.00311
0.00000	0.00000
0.00099	-0.00258
0.00394	-0.00520
0.00886	-0.00784
0.01571	-0.01031
0.02447	-0.01264
0.03511	-0.01481
0.04759	-0.01672
0.06185	-0.01840
0.07784	-0.01981
0.09549	-0.02099
0.11474	-0.02192
0.13552	-0.02261
0.15773	-0.02307
0.18129	-0.02330
0.20611	-0.02333
0.23209	-0.02316
0.25912	-0.02282
0.28711	-0.02231
0.31594	-0.02164
0.34549	-0.02084
0.37566	-0.01992
0.40631	-0.01888
0.43733	-0.01775
0.46861	-0.01655
0.50000	-0.01527
0.53140	-0.01392
0.56267	-0.01250
0.59369	-0.01103
0.62435	-0.00951
0.65451	-0.00800
0.68406	-0.00653
0.71289	-0.00514
0.74088	-0.00383
0.76791	-0.00264
0.79389	-0.00158
0.81871	-0.00065
0.84227	0.00013
0.86448	0.00076
0.88526	0.00124
0.90451	0.00157
0.92216	0.00175
0.93815	0.00178
0.95241	0.00169
0.96489	0.00149
0.97553	0.00122
0.98429	0.00089
0.99114	0.00056
0.99606	0.00027
0.99901	0.00008
1.00000	0.00000
