HN-239	F3J  Norbert Habbe
1.00000	0.00000		
0.99901	0.00016		
0.99606	0.00067		
0.99114	0.00156		
0.98429	0.00285		
0.97553	0.00450		
0.96489	0.00645		
0.95241	0.00862		
0.93815	0.01095		
0.92216	0.01346		
0.90451	0.01614		
0.88526	0.01897		
0.86448	0.02193		
0.84227	0.02499		
0.81871	0.02810		
0.79389	0.03123
0.76791	0.03436
0.74088	0.03745
0.71289	0.04047
0.68406	0.04338
0.65451	0.04617
0.62435	0.04880
0.59369	0.05123
0.56267	0.05345
0.53140	0.05543
0.50000	0.05714
0.46861	0.05856
0.43733	0.05966
0.40631	0.06044
0.37566	0.06087
0.34549	0.06095
0.31594	0.06065
0.28711	0.05998
0.25912	0.05893
0.23209	0.05749
0.20611	0.05567
0.18129	0.05348
0.15773	0.05092
0.13552	0.04802
0.11474	0.04479
0.09549	0.04125
0.07784	0.03743
0.06185	0.03338
0.04759	0.02913
0.03511	0.02472
0.02447	0.02019
0.01571	0.01565
0.00886	0.01120
0.00394	0.00697
0.00099	0.00310
0.00000	0.00000
0.00099	-0.00243
0.00394	-0.00509
0.00886	-0.00757
0.01571	-0.00990
0.02447	-0.01211
0.03511	-0.01415
0.04759	-0.01594
0.06185	-0.01751
0.07784	-0.01883
0.09549	-0.01992
0.11474	-0.02079
0.13552	-0.02143
0.15773	-0.02185
0.18129	-0.02207
0.20611	-0.02209
0.23209	-0.02194
0.25912	-0.02161
0.28711	-0.02114
0.31594	-0.02052
0.34549	-0.01977
0.37566	-0.01890
0.40631	-0.01792
0.43733	-0.01686
0.46861	-0.01570
0.50000	-0.01447
0.53140	-0.01316
0.56267	-0.01176
0.59369	-0.01027
0.62435	-0.00873
0.65451	-0.00718
0.68406	-0.00568
0.71289	-0.00426
0.74088	-0.00293
0.76791	-0.00174
0.79389	-0.00070
0.81871	0.00020
0.84227	0.00094
0.86448	0.00151
0.88526	0.00192
0.90451	0.00217
0.92216	0.00226
0.93815	0.00221
0.95241	0.00204
0.96489	0.00176
0.97553	0.00140			
0.98429	0.00102			
0.99114	0.00063			
0.99606	0.00031			
0.99901	0.00008			
1.00000	0.00000			
Profilbeiwerte				
Profildicke(d):	8.12	%		
Dickenrcklage(xd):	30.62	%		
Profilwlbung(f):	2.14	%		
Wlbungsrcklage(xf):	45.82	%		
Momentenbeiwert(cm0):	-0.0798			
Nullauftrieb(a0):	-2.9917			
Stofreier	Eintritt:	0.3146		
Ca	bei	stofreiem	Eintritt:	0.3625
Auftriebsanstieg:	6.6857			
Neutralpunktlage:	25.6	%
Profiltyp:	Profil	
