E220  (11.48%)               
   1.00000  0.00000
   0.99639  0.00008
   0.98575  0.00062
   0.96855  0.00206
   0.94537  0.00456
   0.91671  0.00809
   0.88303  0.01269
   0.84494  0.01844
   0.80322  0.02531
   0.75865  0.03311
   0.71202  0.04156
   0.66408  0.05031
   0.61555  0.05890
   0.56707  0.06675
   0.51893  0.07317
   0.47113  0.07784
   0.42381  0.08072
   0.37714  0.08188
   0.33144  0.08152
   0.28720  0.07983
   0.24486  0.07687
   0.20485  0.07275
   0.16757  0.06754
   0.13337  0.06136
   0.10256  0.05432
   0.07543  0.04658
   0.05220  0.03830
   0.03307  0.02968
   0.01818  0.02095
   0.00761  0.01241
   0.00148  0.00452
   0.00025 -0.00172
   0.00492 -0.00690
   0.01552 -0.01208
   0.03134 -0.01689
   0.05221 -0.02113
   0.07795 -0.02474
   0.10834 -0.02769
   0.14312 -0.02996
   0.18194 -0.03161
   0.22440 -0.03266
   0.27004 -0.03316
   0.31838 -0.03318
   0.36885 -0.03277
   0.42089 -0.03199
   0.47390 -0.03088
   0.52725 -0.02949
   0.58032 -0.02787
   0.63250 -0.02604
   0.68318 -0.02404
   0.73176 -0.02191
   0.77767 -0.01967
   0.82037 -0.01733
   0.85936 -0.01492
   0.89416 -0.01244
   0.92435 -0.00981
   0.94977 -0.00691
   0.97051 -0.00397
   0.98633 -0.00162
   0.99647 -0.00034
   1.00000  0.00000
