 NLR-7301 AIRFOIL
1.0000000 0.000550
0.9900000 0.002580
0.9750000 0.005770
0.9500000 0.011290
0.9250000 0.016960
0.9000000 0.022690
0.8500000 0.034150
0.8000000 0.045230
0.7500000 0.055510
0.7000000 0.064580
0.6500000 0.072120
0.6000000 0.077890
0.5500000 0.082060
0.5000000 0.084950
0.4500000 0.086780
0.4000000 0.087640
0.3500000 0.087550
0.3000000 0.086490
0.2500000 0.084410
0.2000000 0.081150
0.1500000 0.076480
0.1250000 0.073470
0.1000000 0.069850
0.0800000 0.066360
0.0650000 0.063210
0.0500000 0.059200
0.0350000 0.053720
0.0250000 0.048730
0.0200000 0.045140
0.0160000 0.041400
0.0125000 0.037290
0.0100000 0.033750
0.0080000 0.030430
0.0065000 0.027560
0.0050000 0.024240
0.0035000 0.020300
0.0020000 0.015180
0.0010000 0.010510
0.0005000 0.007300
0.0 0.000000
0.0005000 -0.007480
0.0010000 -0.010200
0.0020000 -0.013730
0.0035000 -0.017350
0.0050000 -0.020160
0.0065000 -0.022520
0.0080000 -0.024550
0.0100000 -0.026880
0.0125000 -0.029350
0.0160000 -0.032250
0.0200000 -0.035020
0.0250000 -0.037940
0.0350000 -0.042640
0.0500000 -0.048060
0.0650000 -0.052290
0.0800000 -0.055760
0.1000000 -0.059620
0.1250000 -0.063580
0.1500000 -0.066890
0.2000000 -0.071940
0.2500000 -0.075270
0.3000000 -0.077130
0.3500000 -0.077630
0.4000000 -0.076720
0.4500000 -0.074120
0.5000000 -0.069340
0.5500000 -0.062370
0.6000000 -0.053860
0.6500000 -0.043970
0.7000000 -0.033160
0.7500000 -0.022270
0.8000000 -0.012210
0.8500000 -0.004090
0.9000000 0.001080
0.9250000 0.002280
0.9500000 0.002460
0.9750000 0.001530
0.9900000 0.000420
1.0000000 -0.000550
