HG 42 (c)Slobodan Midic  Hang glider 15%
     1.000000    0.000474
     0.994573    0.000166
     0.981533   -0.000200
     0.966666   -0.000412
     0.950497   -0.000395
     0.933565   -0.000084
     0.916250    0.000559
     0.898739    0.001550
     0.881124    0.002884
     0.863451    0.004565
     0.845711    0.006588
     0.827908    0.008943
     0.810020    0.011629
     0.792019    0.014631
     0.773893    0.017932
     0.755615    0.021519
     0.737167    0.025370
     0.718525    0.029461
     0.699688    0.033755
     0.680665    0.038228
     0.661446    0.042845
     0.642082    0.047558
     0.622641    0.052328
     0.603260    0.057077
     0.584068    0.061724
     0.565114    0.066212
     0.546384    0.070498
     0.527863    0.074557
     0.509534    0.078358
     0.491364    0.081879
     0.473329    0.085105
     0.455399    0.088019
     0.437548    0.090616
     0.419764    0.092884
     0.402025    0.094817
     0.384322    0.096411
     0.366648    0.097659
     0.348989    0.098559
     0.331351    0.099113
     0.313751    0.099318
     0.296209    0.099168
     0.278733    0.098656
     0.261330    0.097777
     0.244004    0.096526
     0.226770    0.094904
     0.209654    0.092911
     0.192701    0.090550
     0.175972    0.087825
     0.159551    0.084740
     0.143519    0.081291
     0.127969    0.077487
     0.113007    0.073343
     0.098775    0.068904
     0.085441    0.064233
     0.073184    0.059423
     0.062137    0.054547
     0.052347    0.049672
     0.043783    0.044893
     0.036383    0.040325
     0.030048    0.036055
     0.024661    0.032108
     0.020088    0.028461
     0.016186    0.025099
     0.012852    0.021988
     0.010022    0.019060
     0.007626    0.016274
     0.005589    0.013624
     0.003861    0.011097
     0.002438    0.008662
     0.001337    0.006286
     0.000567    0.003961
     0.000115    0.001694
    -0.000035   -0.000484
     0.000109   -0.002653
     0.000574   -0.004866
     0.001393   -0.007081
     0.002590   -0.009255
     0.004170   -0.011353
     0.006122   -0.013365
     0.008439   -0.015293
     0.011139   -0.017137
     0.014260   -0.018899
     0.017849   -0.020608
     0.021972   -0.022308
     0.026733   -0.024028
     0.032278   -0.025785
     0.038798   -0.027598
     0.046523   -0.029486
     0.055711   -0.031456
     0.066580   -0.033483
     0.079248   -0.035508
     0.093646   -0.037466
     0.109544   -0.039292
     0.126612   -0.040955
     0.144542   -0.042445
     0.163063   -0.043771
     0.182000   -0.044948
     0.201208   -0.045992
     0.220607   -0.046917
     0.240117   -0.047733
     0.259704   -0.048445
     0.279318   -0.049059
     0.298945   -0.049569
     0.318560   -0.049979
     0.338150   -0.050278
     0.357720   -0.050467
     0.377256   -0.050539
     0.396782   -0.050488
     0.416296   -0.050316
     0.435821   -0.050018
     0.455363   -0.049603
     0.474919   -0.049070
     0.494503   -0.048424
     0.514095   -0.047671
     0.533695   -0.046809
     0.553290   -0.045846
     0.572860   -0.044775
     0.592416   -0.043596
     0.611938   -0.042307
     0.631444   -0.040898
     0.650945   -0.039374
     0.670460   -0.037726
     0.690031   -0.035960
     0.709679   -0.034083
     0.729443   -0.032109
     0.749315   -0.030063
     0.769294   -0.027959
     0.789338   -0.025822
     0.809423   -0.023656
     0.829511   -0.021474
     0.849594   -0.019265
     0.869655   -0.017045
     0.889622   -0.014817
     0.909422   -0.012569
     0.928908   -0.010337
     0.947744   -0.008135
     0.965387   -0.006029
     0.981166   -0.004081
     0.994591   -0.002426
     1.000000   -0.001519
