HN-975	Planeur>3.5m  Norbert Habbe
1.000000	0.000000
0.999013	0.000181
0.996057	0.000777
0.991144	0.001831
0.984292	0.003388
0.975528	0.005421
0.964888	0.007853
0.952414	0.010616
0.938153	0.013632
0.922164	0.016893
0.904508	0.020402
0.885257	0.024141
0.864484	0.028085
0.842274	0.032196
0.818712	0.036435
0.793893	0.040764
0.767913	0.045144
0.740877	0.049528
0.712890	0.053879
0.684062	0.058141
0.654508	0.062275
0.624345	0.066236
0.593691	0.069967
0.562667	0.073422
0.531395	0.076537
0.500000	0.079244
0.468605	0.081511
0.437333	0.083286
0.406309	0.084543
0.375655	0.085253
0.345492	0.085398
0.315938	0.084949
0.287110	0.083933
0.259123	0.082355
0.232087	0.080240
0.206107	0.077605
0.181288	0.074459
0.157726	0.070819
0.135516	0.066718
0.114743	0.062174
0.095492	0.057222
0.077836	0.051906
0.061847	0.046269
0.047586	0.040359
0.035112	0.034238
0.024472	0.027966
0.015708	0.021677
0.008856	0.015503
0.003943	0.009529
0.001108	0.004298
0.000000	0.000000
0.001108	-0.003745
0.003943	-0.007575
0.008856	-0.011643
0.015708	-0.015433
0.024472	-0.019146
0.035112	-0.022678
0.047586	-0.025895
0.061847	-0.028793
0.077836	-0.031364
0.095492	-0.033586
0.114743	-0.035458
0.135516	-0.036974
0.157726	-0.038145
0.181288	-0.038965
0.206107	-0.039453
0.232087	-0.039616
0.259123	-0.039459
0.287110	-0.039009
0.315938	-0.038257
0.345492	-0.037210
0.375655	-0.035881
0.406309	-0.034295
0.437333	-0.032482
0.468605	-0.030469
0.500000	-0.028288
0.531395	-0.025979
0.562667	-0.023570
0.593691	-0.021097
0.624345	-0.018598
0.654508	-0.016125
0.684062	-0.013729
0.712890	-0.011437
0.740877	-0.009278
0.767913	-0.007274
0.793893	-0.005452
0.818712	-0.003831
0.842274	-0.002418
0.864484	-0.001217
0.885257	-0.000243
0.904508	0.000512
0.922164	0.001043
0.938153	0.001364
0.952414	0.001484
0.964888	0.001429
0.975528	0.001237
0.984292	0.000944
0.991144	0.000611
0.996057	0.000301
0.999013	0.000083
1.000000	0.000000
