OAF117 AIRFOIL
1.0000000 0.0049310
0.9990130 0.0050010
0.9960570 0.0052130
0.9911440 0.0055780
0.9842920 0.0061110
0.9755280 0.0068290
0.9648880 0.0077530
0.9524140 0.0089020
0.9381530 0.0102920
0.9221640 0.0119330
0.9045080 0.0138320
0.8852570 0.0159860
0.8644840 0.0183870
0.8422740 0.0210220
0.8187120 0.0238710
0.7938930 0.0269110
0.7679130 0.0301180
0.7408770 0.0334620
0.7128900 0.0369170
0.6840620 0.0404510
0.6545080 0.0440330
0.6243450 0.0476280
0.5936910 0.0511980
0.5626670 0.0547000
0.5313950 0.0580870
0.5000000 0.0613050
0.4686050 0.0642960
0.4373330 0.0669990
0.4063090 0.0693530
0.3756550 0.0712980
0.3454920 0.0727790
0.3159380 0.0737510
0.2871100 0.0741820
0.2591230 0.0739400
0.2320870 0.0732880
0.2061070 0.0719280
0.1812880 0.0698950
0.1577260 0.0672970
0.1355160 0.0641960
0.1147430 0.0606020
0.0954920 0.0565120
0.0778360 0.0519450
0.0618470 0.0469650
0.0475860 0.0416720
0.0351120 0.0361690
0.0244720 0.0305360
0.0157080 0.0248040
0.0088560 0.0189500
0.0039430 0.0129130
0.0009870 0.0066160
0.0000000 0.0000000
0.0009870 -.0052160
0.0039430 -.0104160
0.0088560 -.0154420
0.0157080 -.0201210
0.0244720 -.0243480
0.0351120 -.0281210
0.0475860 -.0315040
0.0618470 -.0345470
0.0778360 -.0372010
0.0954920 -.0393320
0.1147430 -.0408480
0.1355160 -.0418560
0.1577260 -.0425490
0.1812880 -.0425030
0.2061070 -.0421770
0.2320870 -.0413890
0.2591230 -.0401610
0.2871100 -.0385330
0.3159380 -.0365570
0.3454920 -.0342970
0.3756550 -.0318210
0.4063090 -.0291990
0.4373330 -.0265000
0.4686050 -.0237870
0.5000000 -.0211170
0.5313950 -.0185370
0.5626670 -.0160860
0.5936910 -.0137910
0.6243450 -.0116740
0.6545080 -.0097490
0.6840620 -.0080230
0.7128900 -.0065020
0.7408770 -.0051890
0.7679130 -.0040830
0.7938930 -.0031840
0.8187120 -.0024920
0.8422740 -.0020010
0.8644840 -.0017060
0.8852570 -.0015970
0.9045080 -.0016570
0.9221640 -.0018650
0.9381530 -.0021960
0.9524140 -.0026170
0.9648880 -.0030920
0.9755280 -.0035830
0.9842920 -.0040500
0.9911440 -.0044580
0.9960570 -.0047740
0.9990130 -.0049740
1.0000000 -.0050420
