HN-979 HLG  Norbert Habbe	
1.000000	0.000000
0.999013	0.000148
0.996057	0.000616
0.991144	0.001436
0.984292	0.002628
0.975528	0.004167
0.964888	0.005990
0.952414	0.008028
0.938153	0.010243
0.922164	0.012624
0.904508	0.015175
0.885257	0.017879
0.864484	0.020704
0.842274	0.023618
0.818712	0.026587
0.793893	0.029580
0.767913	0.032559
0.740877	0.035498
0.712890	0.038371
0.684062	0.041141
0.654508	0.043782
0.624345	0.046268
0.593691	0.048569
0.562667	0.050664
0.531395	0.052525
0.500000	0.054125
0.468605	0.055444
0.437333	0.056470
0.406309	0.057183
0.375655	0.057566
0.345492	0.057619
0.315938	0.057314
0.287110	0.056660
0.259123	0.055649
0.232087	0.054280
0.206107	0.052566
0.181288	0.050506
0.157726	0.048102
0.135516	0.045378
0.114743	0.042344
0.095492	0.039019
0.077836	0.035428
0.061847	0.031603
0.047586	0.027578
0.035112	0.023391
0.024472	0.019100
0.015708	0.014789
0.008856	0.010547
0.003943	0.006492
0.000987	0.002866
0.000000	0.000000
0.000987	-0.002451
0.003943	-0.004933
0.008856	-0.007299
0.015708	-0.009525
0.024472	-0.011595
0.035112	-0.013466
0.047586	-0.015091
0.061847	-0.016482
0.077836	-0.017635
0.095492	-0.018555
0.114743	-0.019253
0.135516	-0.019719
0.157726	-0.019979
0.181288	-0.020035
0.206107	-0.019899
0.232087	-0.019589
0.259123	-0.019113
0.287110	-0.018497
0.315938	-0.017747
0.345492	-0.016874
0.375655	-0.015904
0.406309	-0.014849
0.437333	-0.013725
0.468605	-0.012550
0.500000	-0.011328
0.531395	-0.010079
0.562667	-0.008814
0.593691	-0.007545
0.624345	-0.006287
0.654508	-0.005063
0.684062	-0.003896
0.712890	-0.002797
0.740877	-0.001789
0.767913	-0.000881
0.793893	-0.000089
0.818712	0.000581
0.842274	0.001124
0.864484	0.001537
0.885257	0.001821
0.904508	0.001981
0.922164	0.002016
0.938153	0.001941
0.952414	0.001763
0.964888	0.001505
0.975528	0.001192
0.984292	0.000857
0.991144	0.000533
0.996057	0.000256
0.999013	0.000069
1.000000	0.000000

Profildicke(d): 7,52 %
Dickenrcklage(xd): 30,14 %
Profilwlbung(f): 2,14 %
Wlbungsrcklage(xf): 46,86 %
Momentenbeiwert(cm0): -0,0752
Nullauftrieb(a0): -2,8266 
Stofreier Eintritt: 0,3042 
Ca bei stofreiem Eintritt: 0,3433
Auftriebsanstieg: 6,6592
Neutralpunktlage: 25,52 %
Profiltyp: Profil
