HN-354 F3B  Norbert Habbe
1.00000	0.00000	
0.99895	0.00014	
0.99586	0.00065	
0.99097	0.00148	
0.98417	0.00270	
0.97553	0.00423	
0.96483	0.00606	
0.95241	0.00810	
0.93815	0.01030	
0.92216	0.01266	
0.90451	0.01519	
0.88526	0.01787	
0.86448	0.02067	
0.84227	0.02355	
0.81871	0.02649	
0.79389	0.02945
0.76791	0.03241
0.74088	0.03532
0.71289	0.03818
0.68406	0.04093
0.65451	0.04357
0.62435	0.04606
0.59369	0.04837
0.56267	0.05049
0.53140	0.05239
0.50000	0.05405
0.46861	0.05543
0.43733	0.05652
0.40631	0.05731
0.37566	0.05777
0.34549	0.05790
0.31594	0.05767
0.28711	0.05710
0.25912	0.05615
0.23209	0.05483
0.20611	0.05316
0.18129	0.05112
0.15773	0.04874
0.13552	0.04602
0.11474	0.04297
0.09549	0.03962
0.07784	0.03600
0.06185	0.03214
0.04759	0.02808
0.03511	0.02384
0.02447	0.01949
0.01571	0.01513
0.00886	0.01085
0.00394	0.00673
0.00095	0.00307
0.00000	0.00000
0.00105	-0.00244
0.00394	-0.00502
0.00886	-0.00754
0.01571	-0.00987
0.02447	-0.01207
0.03511	-0.01410
0.04759	-0.01589
0.06185	-0.01746
0.07784	-0.01880
0.09549	-0.01991
0.11474	-0.02080
0.13552	-0.02147
0.15773	-0.02195
0.18129	-0.02222
0.20611	-0.02231
0.23209	-0.02224
0.25912	-0.02200
0.28711	-0.02163
0.31594	-0.02112
0.34549	-0.02048
0.37566	-0.01974
0.40631	-0.01889
0.43733	-0.01794
0.46861	-0.01691
0.50000	-0.01579
0.53140	-0.01458
0.56267	-0.01324
0.59369	-0.01178
0.62435	-0.01023
0.65451	-0.00865
0.68406	-0.00710
0.71289	-0.00562
0.74088	-0.00423
0.76791	-0.00296
0.79389	-0.00184
0.81871	-0.00086
0.84227	-0.00004
0.86448	0.00062
0.88526	0.00112
0.90451	0.00146
0.92216	0.00164
0.93815	0.00169
0.95241	0.00161
0.96489	0.00143
0.97553	0.00117			
0.98429	0.00086			
0.99114	0.00054			
0.99606	0.00026			
0.99901	0.00007			
1.00000	0.00000			
Profilbeiwerte				
Profildicke(d):	7,88	%		
Dickenrcklage(xd):	30,62	%		
Profilwlbung(f):	1,93	%		
Wlbungsrcklage(xf):	44,77	%		
Momentenbeiwert(cm0):	-0,0723			
Nullauftrieb(a0):	-2,7181			
Stofreier	Eintritt:	0,2956		
Ca	bei	stofreiem	Eintritt:	0,3305
Auftriebsanstieg:	6,6758			
Neutralpunktlage:	25,59	%
Profiltyp:	Profil	
