HS 3.4.12b  profil pour aile volante
1.000000    0.000000
0.997260    0.000350
0.989070    0.001420
0.975530    0.003290
0.956770    0.005970
0.933010    0.009430
0.904510    0.013670
0.871570    0.018610
0.834570    0.024210
0.793890    0.030410
0.750000    0.037190
0.703370    0.044500
0.654510    0.052270
0.603960    0.060330
0.552260    0.068370
0.500000    0.076020
0.447740    0.082770
0.396040    0.088240
0.345490    0.092050
0.296630    0.093790
0.250000    0.093370
0.206110    0.090640
0.165430    0.085710
0.128430    0.078640
0.095490    0.069610
0.066990    0.058910
0.043230    0.047100
0.024470    0.034690
0.010930    0.022250
0.002740    0.010280
0.000000    0.000000
0.002740   -0.004790
0.010930   -0.009940
0.024470   -0.014340
0.043230   -0.017820
0.066990   -0.020300
0.095490   -0.022010
0.128430   -0.023120
0.165430   -0.023940
0.206110   -0.024640
0.250000   -0.025370
0.296630   -0.026210
0.345490   -0.027200
0.396040   -0.028330
0.447740   -0.029460
0.500000   -0.030410
0.552260   -0.030930
0.603960   -0.030870
0.654510   -0.030090
0.703370   -0.028510
0.750000   -0.026230
0.793890   -0.023400
0.834570   -0.020120
0.871570   -0.016630
0.904510   -0.013090
0.933010   -0.009630
0.956770   -0.006470
0.975530   -0.003780
0.989070   -0.001730
0.997260   -0.000440
1.000000    0.000000

frederic.klein@free.fr  10/01/03
j'ai trouv les coordonnes sur le site www.aerodesign.de, et j'ai rentr tout 
a avec mes petits doigts.
