NM41 f3j Re allant de 250 000  180 000 (c)Nicolas Mathis kipecoul.e-monsite.com/pages/profil-f3j/nm-41.html
 1.00000     0.00050
 0.99211     0.00169
 0.97831     0.00387
 0.96422     0.00607
 0.95013     0.00818
 0.93606     0.01017
 0.92199     0.01211
 0.90782     0.01402
 0.89369     0.01589
 0.87959     0.01773
 0.86551     0.01953
 0.85140     0.02129
 0.83724     0.02304
 0.82306     0.02475
 0.80890     0.02642
 0.79472     0.02806
 0.78054     0.02966
 0.76638     0.03123
 0.75219     0.03278
 0.73804     0.03428
 0.72392     0.03575
 0.70980     0.03719
 0.69563     0.03865
 0.68141     0.04015
 0.66725     0.04159
 0.65304     0.04300
 0.63883     0.04438
 0.62462     0.04569
 0.61043     0.04700
 0.59627     0.04824
 0.58209     0.04944
 0.56790     0.05060
 0.55370     0.05172
 0.53952     0.05277
 0.52534     0.05380
 0.51110     0.05476
 0.49687     0.05567
 0.48271     0.05652
 0.46846     0.05731
 0.45420     0.05806
 0.43996     0.05874
 0.42570     0.05936
 0.41143     0.05992
 0.39718     0.06041
 0.38291     0.06081
 0.36866     0.06115
 0.35440     0.06139
 0.34013     0.06155
 0.32588     0.06162
 0.31163     0.06159
 0.29737     0.06147
 0.28314     0.06125
 0.26890     0.06090
 0.25466     0.06046
 0.24047     0.05987
 0.22625     0.05916
 0.21208     0.05831
 0.19791     0.05730
 0.18377     0.05612
 0.16967     0.05476
 0.15561     0.05320
 0.14157     0.05143
 0.12761     0.04943
 0.11370     0.04713
 0.09988     0.04456
 0.08615     0.04165
 0.07261     0.03837
 0.05920     0.03462
 0.04608     0.03037
 0.03332     0.02549
 0.02135     0.01986
 0.01086     0.01348
 0.00412     0.00772
 0.00136     0.00404
 0.00033     0.00165
 0.00000     0.00000
 0.00041    -0.00164
 0.00185    -0.00372
 0.00558    -0.00627
 0.01373    -0.00944
 0.02596    -0.01236
 0.03941    -0.01458
 0.05323    -0.01618
 0.06719    -0.01739
 0.08125    -0.01830
 0.09538    -0.01897
 0.10956    -0.01947
 0.12376    -0.01981
 0.13797    -0.02003
 0.15221    -0.02014
 0.16645    -0.02017
 0.18070    -0.02013
 0.19491    -0.02002
 0.20911    -0.01985
 0.22334    -0.01963
 0.23759    -0.01936
 0.25186    -0.01904
 0.26613    -0.01869
 0.28041    -0.01831
 0.29468    -0.01790
 0.30890    -0.01748
 0.32311    -0.01702
 0.33727    -0.01656
 0.35144    -0.01606
 0.36568    -0.01556
 0.37992    -0.01504
 0.39418    -0.01451
 0.40847    -0.01397
 0.42273    -0.01343
 0.43695    -0.01288
 0.45115    -0.01232
 0.46540    -0.01176
 0.47966    -0.01118
 0.49390    -0.01061
 0.50816    -0.01001
 0.52242    -0.00942
 0.53669    -0.00882
 0.55095    -0.00822
 0.56520    -0.00761
 0.57944    -0.00700
 0.59368    -0.00639
 0.60795    -0.00578
 0.62224    -0.00517
 0.63651    -0.00457
 0.65079    -0.00399
 0.66507    -0.00341
 0.67934    -0.00285
 0.69359    -0.00231
 0.70778    -0.00179
 0.72200    -0.00127
 0.73626    -0.00078
 0.75049    -0.00031
 0.76476     0.00012
 0.77901     0.00053
 0.79321     0.00092
 0.80740     0.00125
 0.82163     0.00155
 0.83584     0.00181
 0.85008     0.00202
 0.86435     0.00218
 0.87863     0.00229
 0.89288     0.00234
 0.90714     0.00232
 0.92139     0.00222
 0.93564     0.00204
 0.94985     0.00176
 0.96406     0.00135
 0.97819     0.00077
 0.99204     0.00001
 1.00000    -0.00050

http://kipecoul.e-monsite.com/pages/profil-f3j/nm-41.html
modif .099999 -> 1.00000
