tt54 profil  cm0 positif
1.000000    0.000000
0.996510    0.000140
0.986240    0.000810
0.969680    0.002330
0.947320    0.004820
0.919660    0.008270
0.887240    0.012610
0.850600    0.017740
0.810300    0.023500
0.766900    0.029700
0.720950    0.036170
0.673030    0.042690
0.623710    0.049080
0.573540    0.055100
0.523060    0.060550
0.472770    0.065250
0.423180    0.069040
0.374730    0.071760
0.327880    0.073310
0.283020    0.073580
0.240530    0.072530
0.200730    0.070140
0.163920    0.066420
0.130350    0.061430
0.100220    0.055290
0.073740    0.048200
0.051100    0.040340
0.032450    0.031940
0.017940    0.023250
0.007680    0.014570
0.001690    0.006230
0.000200    0.001890
0.000000    0.000130
0.000150   -0.001460
0.000710   -0.002950
0.001670   -0.004440
0.004130   -0.007040
0.013450   -0.012710
0.027740   -0.017610
0.046990   -0.021560
0.071210   -0.024480
0.100300   -0.026460
0.134000   -0.027600
0.172020   -0.027970
0.213980   -0.027710
0.259420   -0.026940
0.307820   -0.025750
0.358610   -0.024270
0.411190   -0.022570
0.464940   -0.020730
0.519200   -0.018830
0.573310   -0.016920
0.626610   -0.015050
0.678460   -0.013260
0.728220   -0.011550
0.775310   -0.009950
0.819140   -0.008470
0.859170   -0.007130
0.894900   -0.005880
0.925920   -0.004710
0.951840   -0.003610
0.972340   -0.002520
0.987270   -0.001370
0.996670   -0.000380
1.000000    0.000000

frederic.klein@free.fr  10/01/03
j'ai trouv les coordonnes sur le site www.aerodesign.de, et j'ai rentr tout 
a avec mes petits doigts.
