MID 012 root (c)Slobodan Midic   for Hand and Catapult Launched Glider  
     1.000000   -0.066426
     0.995265   -0.065978
     0.987315   -0.064539
     0.976518   -0.062567
     0.965581   -0.060549
     0.954616   -0.058512
     0.943647   -0.056463
     0.932662   -0.054413
     0.921709   -0.052371
     0.910762   -0.050353
     0.899811   -0.048350
     0.888892   -0.046383
     0.877937   -0.044441
     0.866986   -0.042521
     0.856046   -0.040636
     0.845069   -0.038769
     0.834097   -0.036925
     0.823137   -0.035110
     0.812146   -0.033315
     0.801149   -0.031537
     0.790170   -0.029784
     0.779175   -0.028055
     0.768157   -0.026339
     0.757158   -0.024644
     0.746166   -0.022975
     0.735146   -0.021325
     0.724118   -0.019689
     0.713110   -0.018076
     0.702100   -0.016488
     0.691061   -0.014915
     0.680023   -0.013356
     0.669006   -0.011822
     0.657982   -0.010312
     0.646932   -0.008817
     0.635882   -0.007336
     0.624854   -0.005878
     0.613824   -0.004446
     0.602770   -0.003032
     0.591714   -0.001633
     0.580680   -0.000261
     0.569646    0.001085
     0.558587    0.002409
     0.547520    0.003718
     0.536478    0.005000
     0.525445    0.006250
     0.514388    0.007476
     0.503316    0.008681
     0.492263    0.009861
     0.481224    0.011008
     0.470163    0.012125
     0.459084    0.013221
     0.448027    0.014289
     0.436992    0.015319
     0.425938    0.016315
     0.414858    0.017281
     0.403796    0.018218
     0.392764    0.019113
     0.381720    0.019962
     0.370647    0.020778
     0.359591    0.021557
     0.348574    0.022284
     0.337541    0.022959
     0.326471    0.023592
     0.315421    0.024181
     0.304415    0.024714
     0.293387    0.025186
     0.282309    0.025612
     0.271248    0.025997
     0.260236    0.026325
     0.249224    0.026587
     0.238200    0.026788
     0.227205    0.026923
     0.216220    0.026982
     0.205218    0.026968
     0.194244    0.026883
     0.183299    0.026712
     0.172342    0.026452
     0.161409    0.026108
     0.150509    0.025667
     0.139602    0.025123
     0.128736    0.024482
     0.117911    0.023724
     0.107100    0.022848
     0.096369    0.021845
     0.085657    0.020696
     0.075002    0.019402
     0.064426    0.017949
     0.054020    0.016324
     0.043808    0.014474
     0.033830    0.012378
     0.024315    0.010017
     0.015254    0.007312
     0.008205    0.004826
     0.004644    0.003359
     0.002906    0.002549
     0.001857    0.001991
     0.001143    0.001551
     0.000628    0.001164
     0.000269    0.000794
     0.000063    0.000423
     0.000015    0.000048
     0.000144   -0.000321
     0.000455   -0.000662
     0.000935   -0.000948
     0.001584   -0.001185
     0.002465   -0.001378
     0.003735   -0.001531
     0.005868   -0.001649
     0.010327   -0.001754
     0.018003   -0.001810
     0.027804   -0.001753
     0.038746   -0.001537
     0.049769   -0.001193
     0.060583   -0.000770
     0.071580   -0.000289
     0.082555    0.000202
     0.093581    0.000671
     0.104643    0.001090
     0.115620    0.001455
     0.126641    0.001770
     0.137684    0.002037
     0.148668    0.002254
     0.159662    0.002425
     0.170704    0.002553
     0.181718    0.002639
     0.192702    0.002690
     0.203729    0.002713
     0.214791    0.002713
     0.225825    0.002697
     0.236839    0.002671
     0.247888    0.002640
     0.258976    0.002611
     0.270043    0.002590
     0.281080    0.002580
     0.292130    0.002578
     0.303211    0.002577
     0.314288    0.002572
     0.325339    0.002556
     0.336384    0.002523
     0.347455    0.002467
     0.358542    0.002383
     0.369611    0.002270
     0.380666    0.002131
     0.391734    0.001970
     0.402831    0.001790
     0.413938    0.001595
     0.425031    0.001390
     0.436125    0.001176
     0.447247    0.000955
     0.458387    0.000703
     0.469506    0.000386
     0.480585   -0.000029
     0.491642   -0.000577
     0.502721   -0.001294
     0.513820   -0.002200
     0.524902   -0.003130
     0.535962   -0.004087
     0.547025   -0.005079
     0.558109   -0.006100
     0.569197   -0.007143
     0.580264   -0.008209
     0.591315   -0.009303
     0.602373   -0.010429
     0.613449   -0.011583
     0.624519   -0.012757
     0.635567   -0.013956
     0.646605   -0.015185
     0.657657   -0.016444
     0.668719   -0.017728
     0.679761   -0.019034
     0.690786   -0.020368
     0.701817   -0.021735
     0.712864   -0.023129
     0.723902   -0.024544
     0.734914   -0.025985
     0.745926   -0.027458
     0.756956   -0.028961
     0.767981   -0.030487
     0.778981   -0.032037
     0.789980   -0.033619
     0.800998   -0.035229
     0.812003   -0.036862
     0.822981   -0.038522
     0.833964   -0.040214
     0.844956   -0.041938
     0.855918   -0.043686
     0.866871   -0.045471
     0.877839   -0.047290
     0.888785   -0.049136
     0.899723   -0.051020
     0.910694   -0.052939
     0.921643   -0.054878
     0.932613   -0.056848
     0.943579   -0.058832
     0.954535   -0.060839
     0.965489   -0.062861
     0.976440   -0.064906
     0.987237   -0.066941
     0.995188   -0.068451
     1.000000   -0.068924
