HN-163	F3B Norbert Habe
1.00000	0.00000		
0.99901	0.00014		
0.99606	0.00061		
0.99114	0.00144		
0.98429	0.00264		
0.97553	0.00419		
0.96489	0.00602		
0.95241	0.00808		
0.93815	0.01028		
0.92216	0.01266		
0.90451	0.01521		
0.88526	0.01791		
0.86448	0.02075		
0.84227	0.02367		
0.81871	0.02666		
0.79389	0.02969
0.76791	0.03272
0.74088	0.03572
0.71289	0.03868
0.68406	0.04154
0.65451	0.04430
0.62435	0.04692
0.59369	0.04937
0.56267	0.05162
0.53140	0.05366
0.50000	0.05545
0.46861	0.05696
0.43733	0.05818
0.40631	0.05909
0.37566	0.05966
0.34549	0.05989
0.31594	0.05976
0.28711	0.05926
0.25912	0.05837
0.23209	0.05710
0.20611	0.05545
0.18129	0.05342
0.15773	0.05101
0.13552	0.04825
0.11474	0.04513
0.09549	0.04169
0.07784	0.03795
0.06185	0.03394
0.04759	0.02971
0.03511	0.02528
0.02447	0.02071
0.01571	0.01612
0.00886	0.01161
0.00394	0.00719
0.00099	0.00315
0.00000	0.00000
0.00099	-0.00263
0.00394	-0.00557
0.00886	-0.00843
0.01571	-0.01110
0.02447	-0.01364
0.03511	-0.01601
0.04759	-0.01813
0.06185	-0.02001
0.07784	-0.02165
0.09549	-0.02303
0.11474	-0.02419
0.13552	-0.02509
0.15773	-0.02578
0.18129	-0.02625
0.20611	-0.02651
0.23209	-0.02657
0.25912	-0.02645
0.28711	-0.02617
0.31594	-0.02572
0.34549	-0.02511
0.37566	-0.02437
0.40631	-0.02350
0.43733	-0.02251
0.46861	-0.02141
0.50000	-0.02019
0.53140	-0.01885
0.56267	-0.01736
0.59369	-0.01572
0.62435	-0.01396
0.65451	-0.01216
0.68406	-0.01037
0.71289	-0.00865
0.74088	-0.00701
0.76791	-0.00549
0.79389	-0.00411
0.81871	-0.00289
0.84227	-0.00183
0.86448	-0.00093
0.88526	-0.00021
0.90451	0.00033
0.92216	0.00071
0.93815	0.00094
0.95241	0.00103
0.96489	0.00100
0.97553	0.00087			
0.98429	0.00067			
0.99114	0.00044			
0.99606	0.00022			
0.99901	0.00006			
1.00000	0.00000			
Profilbeiwerte				
Profildicke(d):	8,55	%		
Dickenrcklage(xd):	30,62	%		
Profilwlbung(f):	1,78	%		
Wlbungsrcklage(xf):	43,73	%		
Momentenbeiwert(cm0):	-0,0672			
Nullauftrieb(a0):	-2,5337			
Stofreier	Eintritt:	0,2945		
Ca	bei	stofreiem	Eintritt:	0,3101
Auftriebsanstieg:	6,7094			
Neutralpunktlage:	25,63	%
Profiltyp:	Profil	
