HM10011	NF-Leistungsprofil erstellt 01.2001
1.00000	0.00000
0.99988	0.00001
0.99974	0.000011
0.99956	0.00002
0.99932	0.00004
0.99899	0.00007
0.99857	0.00011
0.99805	0.00016
0.99745	0.00022
0.99675	0.00028
0.99598	0.00036
0.99513	0.00044
0.99421	0.00052
0.99320	0.00062
0.99212	0.00072
0.99096	0.00084
0.98972	0.00097
0.98840	0.00111
0.98701	0.00126
0.98553	0.00143
0.98398	0.00161
0.98234	0.00179
0.98063	0.00199
0.97885	0.00219
0.97698	0.00241
0.97504	0.00264
0.97302	0.00288
0.97093	0.00313
0.96876	0.00339
0.96651	0.00366
0.96419	0.00394
0.96180	0.00423
0.95932	0.00453
0.95678	0.00484
0.95416	0.00516
0.95147	0.00548
0.94871	0.00582
0.94587	0.00617
0.94296	0.00652
0.93998	0.00689
0.93693	0.00727
0.93381	0.00766
0.93062	0.00807
0.92736	0.00848
0.92403	0.00890
0.92064	0.00932
0.91717	0.00975
0.91364	0.01019
0.91005	0.01064
0.90638	0.01109
0.90266	0.01156
0.89886	0.01205
0.89500	0.01254
0.89108	0.01305
0.88710	0.01356
0.88305	0.01408
0.87894	0.01461
0.87476	0.01515
0.87053	0.01569
0.86624	0.01624
0.86189	0.01680
0.85748	0.01737
0.85302	0.01795
0.84849	0.01853
0.84392	0.01912
0.83928	0.01971
0.83459	0.02031
0.82985	0.02092
0.82506	0.02153
0.82021	0.02215
0.81531	0.02277
0.81036	0.02340
0.80536	0.02403
0.80031	0.02467
0.79521	0.02531
0.79006	0.02595
0.78487	0.02659
0.77963	0.02723
0.77435	0.02788
0.76902	0.02853
0.76365	0.02919
0.75824	0.02985
0.75279	0.03051
0.74730	0.03118
0.74176	0.03184
0.73619	0.03249
0.73057	0.03315
0.72492	0.03380
0.71924	0.03445
0.71352	0.03510
0.70776	0.03575
0.70197	0.03640
0.69615	0.03706
0.69029	0.03771
0.68441	0.03836
0.67850	0.03901
0.67256	0.03966
0.66659	0.04030
0.66059	0.04094
0.65457	0.04157
0.64852	0.04220
0.64245	0.04282
0.63636	0.04343
0.63024	0.04404
0.62411	0.04464
0.61795	0.04525
0.61177	0.04585
0.60558	0.04644
0.59936	0.04704
0.59314	0.04762
0.58689	0.04820
0.58064	0.04878
0.57437	0.04934
0.56809	0.04990
0.56180	0.05046
0.55550	0.05100
0.54919	0.05153
0.54287	0.05206
0.53654	0.05258
0.53021	0.05309
0.52387	0.05359
0.51753	0.05408
0.51118	0.05456
0.50484	0.05503
0.49849	0.05550
0.49215	0.05596
0.48581	0.05640
0.47946	0.05684
0.47313	0.05726
0.46679	0.05767
0.46046	0.05806
0.45414	0.05844
0.44782	0.05881
0.44151	0.05917
0.43521	0.05952
0.42892	0.05985
0.42265	0.06017
0.41639	0.06048
0.41014	0.06078
0.40391	0.06106
0.39769	0.06132
0.39149	0.06157
0.38530	0.06181
0.37913	0.06203
0.37298	0.06224
0.36686	0.06244
0.36075	0.06262
0.35466	0.06278
0.34860	0.06293
0.34257	0.06306
0.33656	0.06317
0.33057	0.06326
0.32462	0.06334
0.31869	0.06340
0.31279	0.06344
0.30692	0.06347
0.30108	0.06348
0.29528	0.063481
0.28950	0.06345
0.28376	0.06342
0.27806	0.06336
0.27239	0.06329
0.26676	0.06319
0.26116	0.06308
0.25561	0.06294
0.25009	0.06279
0.24462	0.06261
0.23918	0.06242
0.23379	0.06221
0.22844	0.06199
0.22313	0.06175
0.21787	0.06149
0.21266	0.06122
0.20749	0.06092
0.20236	0.06061
0.19729	0.06027
0.19226	0.05991
0.18728	0.05953
0.18236	0.05914
0.17748	0.05873
0.17266	0.05830
0.16789	0.05785
0.16317	0.05739
0.15851	0.05690
0.15390	0.05640
0.14935	0.05587
0.14486	0.05533
0.14042	0.05477
0.13604	0.05418
0.13171	0.05358
0.12745	0.05295
0.12325	0.05231
0.11910	0.05165
0.11502	0.05098
0.11100	0.05029
0.10705	0.04958
0.10316	0.04885
0.09933	0.04811
0.09556	0.04736
0.09187	0.04658
0.08824	0.04579
0.08467	0.04498
0.08117	0.04416
0.07774	0.04333
0.07438	0.04248
0.07108	0.04162
0.06785	0.04074
0.06470	0.03985
0.06161	0.03894
0.05859	0.03801
0.05565	0.03707
0.05277	0.03611
0.04997	0.03514
0.04724	0.03415
0.04459	0.03316
0.04200	0.03216
0.03949	0.03116
0.03706	0.03014
0.03470	0.02912
0.03241	0.02809
0.03020	0.02705
0.02807	0.02601
0.02601	0.02496
0.02403	0.02390
0.02212	0.02284
0.02029	0.02177
0.01854	0.02070
0.01687	0.01962
0.01528	0.01854
0.01376	0.01746
0.01232	0.01637
0.01096	0.01530
0.00968	0.01423
0.00848	0.01318
0.00735	0.01214
0.00630	0.01112
0.00534	0.01012
0.00445	0.00914
0.00365	0.00817
0.00292	0.00721
0.00228	0.00628
0.00172	0.00536
0.00123	0.00446
0.00083	0.00358
0.00050	0.00272
0.00026	0.00189
0.00009	0.00110
0.00001	0.00036
0.00005	-0.00063
0.00025	-0.00153
0.00049	-0.00211
0.00081	-0.00270
0.00121	-0.00330
0.00169	-0.00394
0.00225	-0.00462
0.00289	-0.00532
0.00361	-0.00604
0.00441	-0.00679
0.00529	-0.00756
0.00625	-0.00834
0.00730	-0.00912
0.00842	-0.00988
0.00962	-0.01064
0.01090	-0.01137
0.01225	-0.01209
0.01369	-0.01279
0.01520	-0.01349
0.01679	-0.01419
0.01846	-0.01488
0.02020	-0.01558
0.02203	-0.01627
0.02393	-0.01695
0.02591	-0.01763
0.02796	-0.01831
0.03009	-0.01897
0.03230	-0.01963
0.03458	-0.02028
0.03694	-0.02092
0.03937	-0.02155
0.04188	-0.02217
0.04446	-0.02277
0.04711	-0.02337
0.04983	-0.02395
0.05263	-0.02452
0.05550	-0.02508
0.05844	-0.02563
0.06146	-0.02616
0.06454	-0.02669
0.06769	-0.02720
0.07092	-0.02770
0.07421	-0.02819
0.07757	-0.02866
0.08100	-0.02912
0.08449	-0.02957
0.08806	-0.03000
0.09168	-0.03042
0.09538	-0.03083
0.09914	-0.03122
0.10296	-0.03160
0.10685	-0.03197
0.11080	-0.03233
0.11482	-0.03267
0.11890	-0.03299
0.12304	-0.03330
0.12724	-0.03360
0.13150	-0.03388
0.13582	-0.03415
0.14020	-0.03441
0.14463	-0.03465
0.14913	-0.03489
0.15367	-0.03511
0.15828	-0.03531
0.16294	-0.03551
0.16765	-0.03569
0.17242	-0.03586
0.17724	-0.03601
0.18211	-0.03615
0.18704	-0.03628
0.19201	-0.03639
0.19703	-0.03650
0.20211	-0.03659
0.20723	-0.03667
0.21240	-0.03674
0.21761	-0.03680
0.22287	-0.03684
0.22818	-0.03688
0.23352	-0.03689
0.23891	-0.03690
0.24434	-0.03689
0.24982	-0.03687
0.25533	-0.03684
0.26088	-0.03680
0.26648	-0.03675
0.27211	-0.03670
0.27777	-0.03664
0.28348	-0.03657
0.28922	-0.03649
0.29499	-0.03640
0.30079	-0.03629
0.30663	-0.03618
0.31250	-0.03605
0.31840	-0.03591
0.32432	-0.03576
0.33028	-0.03560
0.33626	-0.03544
0.34227	-0.03526
0.34830	-0.03507
0.35436	-0.03488
0.36045	-0.03468
0.36655	-0.03447
0.37268	-0.03425
0.37883	-0.03404
0.38500	-0.03382
0.39118	-0.03359
0.39738	-0.03335
0.40360	-0.03311
0.40983	-0.03286
0.41608	-0.03259
0.42234	-0.03232
0.42862	-0.03204
0.43490	-0.03175
0.44120	-0.03146
0.44751	-0.03117
0.45383	-0.03087
0.46015	-0.03056
0.46648	-0.03026
0.47282	-0.02994
0.47915	-0.02962
0.48549	-0.02930
0.49184	-0.02897
0.49818	-0.02864
0.50453	-0.02830
0.51087	-0.02796
0.51722	-0.02762
0.52356	-0.02727
0.52990	-0.02691
0.53623	-0.02656
0.54256	-0.02619
0.54888	-0.02583
0.55519	-0.02546
0.56149	-0.02510
0.56778	-0.02474
